	Label	area	meanHeight	medianHeight	maxHeight	id
0	15.0,523.0	11628	14.762103258145366	14.955085714285715	32.955085714285715	IL592
1	17.0,136.0	15734	14.600376168080047	14.955085714285715	33.955085714285715	IL592
2	20.5,617.75	12872	13.531064583148364	13.955085714285715	31.955085714285715	IL592
3	22.1,318.8	9743	15.572657304145103	16.955085714285715	31.955085714285715	IL592
4	24.0,405.0	3581	8.428696437547373	7.955085714285715	21.955085714285715	IL592
5	25.5,35.5	6192	11.23044101144334	10.955085714285715	30.955085714285715	IL592
6	270.0,320.0	14797	16.38787614477838	16.955085714285715	31.955085714285715	IL592
7	323.3333333333333,609.0	17669	15.204788583718056	15.955085714285715	31.955085714285715	IL592
8	326.0,519.3333333333334	11101	10.65952675563334	11.955085714285715	24.955085714285715	IL592
9	328.0,119.5	9566	10.069030936949314	9.955085714285715	24.955085714285715	IL592
10	349.0,264.0	18741	15.548277112823683	15.955085714285715	33.955085714285715	IL592
11	366.25,417.0	15294	16.356550340936693	16.955085714285715	34.955085714285715	IL592
12	5.25,275.5	7475	14.725386717630197	14.955085714285715	32.955085714285715	IL592
13	615.5,34.0	222	0.7839145431145447	-0.044914285714284574	6.955085714285715	IL592
14	624.0,302.5	13207	15.610950028664455	16.955085714285715	34.955085714285715	IL592
15	627.5,403.5	20653	16.429108858623103	17.955085714285715	33.955085714285715	IL592
16	636.25,38.0	2579	5.951208242397385	5.955085714285715	16.955085714285715	IL592
17	652.5,269.0	18228	16.964412025455346	17.955085714285715	33.955085714285715	IL592
18	661.75,622.0	19172	14.204094685702366	14.955085714285715	30.955085714285715	IL592
19	755.0,206.0	7422	13.245977657158257	13.955085714285715	29.955085714285715	IL592
20	949.0,423.0	11994	12.696539774649231	12.955085714285715	29.955085714285715	IL592
21	954.0,307.0	13695	14.091120763573777	14.955085714285715	32.955085714285715	IL592
22	960.0,210.0	11914	16.090976263219744	16.955085714285715	31.955085714285715	IL592
23	963.0,109.0	12578	14.467249810326422	15.955085714285715	30.955085714285715	IL592
24	979.3,621.6	14485	14.369100212042014	14.955085714285715	29.955085714285715	IL592
25	993.0,35.0	1662	11.128972597558882	11.955085714285715	25.955085714285715	IL592
0	109.5,89.0	9471	-0.10332401647133338	-0.24713142857142856	24.75286857142857	IL593
1	11.0,116.0	6122	12.306445833761146	12.752868571428571	33.75286857142857	IL593
