	Label	area	meanHeight	medianHeight	maxHeight	id
0	111.0,625.0	9053	8.438394320272675	10.52985571428571	24.52985571428571	IL401
1	112.0,354.5	9595	11.715369002456633	13.52985571428571	24.52985571428571	IL401
2	137.4,511.2	7987	8.411413245273565	10.52985571428571	22.52985571428571	IL401
3	272.3333333333333,514.6666666666666	8964	11.217272046280353	11.52985571428571	25.52985571428571	IL401
4	276.5,301.0	9196	10.814762195364438	11.52985571428571	24.52985571428571	IL401
5	284.25,618.0	7659	10.587304467386637	11.52985571428571	23.52985571428571	IL401
6	292.25,75.0	8006	10.616290887905496	11.52985571428571	22.52985571428571	IL401
7	301.0,173.0	9110	11.01767130155245	11.52985571428571	24.52985571428571	IL401
8	304.5,407.0	8463	10.81013457520973	11.52985571428571	23.52985571428571	IL401
9	43.0,214.0	11011	6.1684898074652565	10.52985571428571	23.52985571428571	IL401
10	487.0,171.0	8608	11.212708874137011	11.52985571428571	23.52985571428571	IL401
11	509.0,629.5	7933	10.702425990347727	10.52985571428571	22.52985571428571	IL401
12	510.8333333333333,289.3333333333333	8225	11.70772805471124	12.52985571428571	22.52985571428571	IL401
13	526.75,500.5	10447	11.743888450956526	11.52985571428571	26.52985571428571	IL401
14	535.5,114.0	8969	12.619386319704375	13.52985571428571	24.52985571428571	IL401
15	538.5,401.5	9074	11.3461440105167	11.52985571428571	23.52985571428571	IL401
16	652.0,198.0	5327	10.814068216632247	11.52985571428571	20.52985571428571	IL401
17	655.0,509.0	3835	10.337939156267456	10.52985571428571	20.52985571428571	IL401
18	678.25,631.5	8701	11.410903869670147	12.52985571428571	22.52985571428571	IL401
19	680.5,96.25	5718	10.233773167940832	10.52985571428571	23.52985571428571	IL401
20	701.5,338.0	9803	11.480687092435254	12.52985571428571	25.52985571428571	IL401
21	72.0,402.0	5628	5.052776823027713	8.52985571428571	24.52985571428571	IL401
22	739.0,510.0	4197	10.675435890602127	12.52985571428571	27.52985571428571	IL401
23	750.5,181.0	5284	8.554269037525678	9.52985571428571	20.52985571428571	IL401
24	751.0,389.0	6075	9.644423615520278	10.52985571428571	25.52985571428571	IL401
25	863.0,74.0	5631	2.205224210112384	9.52985571428571	21.52985571428571	IL401
26	889.0,209.0	6354	3.755697703583788	11.52985571428571	24.52985571428571	IL401
27	903.0,644.0	5119	1.5613071696480851	10.52985571428571	21.52985571428571	IL401
28	917.4166666666666,295.2916666666667	5602	2.2540613551282647	9.52985571428571	22.52985571428571	IL401
29	924.125,491.75	6007	3.4737544990368328	10.52985571428571	21.52985571428571	IL401
30	933.25,414.0	5282	1.3287955098177058	9.52985571428571	21.52985571428571	IL401
31	98.0,80.0	9070	9.00637170105528	12.52985571428571	27.52985571428571	IL401
0	107.0,266.0	7896	7.153502563323201	9.595118571428571	20.59511857142857	IL402
1	111.0,630.6666666666666	7102	7.014437073259042	10.595118571428571	20.59511857142857	IL402
2	251.25,622.5	7956	8.651428274797098	9.595118571428571	21.59511857142857	IL402
3	286.0,207.5	8592	10.00154315243416	11.595118571428571	22.59511857142857	IL402
4	288.75,316.0	9939	10.52649999813146	11.595118571428571	27.59511857142857	IL402
5	300.5,493.5	8410	9.482752340750807	10.595118571428571	21.59511857142857	IL402
6	310.875,425.75	8353	9.563872312599408	10.595118571428571	19.59511857142857	IL402
7	313.16666666666663,84.93333333333334	12023	11.502961871769585	12.595118571428571	25.59511857142857	IL402
8	390.5,194.0	3521	9.936782871343368	10.595118571428571	19.59511857142857	IL402
9	464.0,506.0	5272	10.439010832430089	10.595118571428571	21.59511857142857	IL402
10	480.0,298.0	10898	11.801853752195683	11.595118571428571	25.59511857142857	IL402
11	489.8,188.4	9310	11.436149720730398	11.595118571428571	24.59511857142857	IL402
12	490.24545454545455,411.19090909090914	8049	10.886334871590083	11.595118571428571	20.59511857142857	IL402
13	501.0,94.0	10100	11.028880947666195	11.595118571428571	24.59511857142857	IL402
14	509.0,624.3333333333334	10753	10.68197805250362	10.595118571428571	22.59511857142857	IL402
15	553.8333333333334,505.0833333333333	5430	10.374124096290451	10.595118571428571	22.59511857142857	IL402
16	651.0,411.0	6281	10.988845684945527	11.595118571428571	24.59511857142857	IL402
17	675.0,88.0	6993	10.631011607321607	10.595118571428571	24.59511857142857	IL402
18	686.0,248.0	9990	11.309032485342485	12.595118571428571	25.59511857142857	IL402
19	689.5,634.0	8931	10.071213073723946	10.595118571428571	22.59511857142857	IL402
20	713.6666666666666,511.6666666666667	10629	10.544784579519643	11.595118571428571	22.59511857142857	IL402
21	744.5,398.0	6633	9.212486278348518	10.595118571428571	23.59511857142857	IL402
22	757.0,77.0	6055	9.081493468208091	9.595118571428571	26.59511857142857	IL402
23	76.83333333333333,192.33333333333334	7959	7.560692135946727	10.595118571428571	24.59511857142857	IL402
24	760.0,284.0	5483	9.525813446496965	9.595118571428571	25.59511857142857	IL402
25	78.16666666666667,415.5	7673	6.769496259425445	9.595118571428571	20.59511857142857	IL402
26	78.66666666666667,72.66666666666667	10921	7.339555894018076	11.595118571428571	23.59511857142857	IL402
