id,Unnamed: 0,area,meanHeight,medianHeight,maxHeight,growth_rate,height_rate,area_rate
IL401,11.0,4278.04347826087,17.0559439515991,16.714253478260872,32.453383913043474,1.593047109656608,1.593047109656608,1.202374415681524
IL402,13.0,11587.037037037036,14.900958982474512,15.050267407407407,35.90211925925926,1.2124510235419408,1.2124510235419408,4.354618304801612
IL404,9.5,8776.3,17.55391280147209,17.47208714285714,38.82208714285714,1.2584844682889256,1.2584844682889256,2.4313058534405716
IL405,11.5,8474.291666666666,16.940539016041562,15.545174285714282,40.17017428571428,1.0867016077577296,1.0867016077577296,2.6965789246490997
IL407,9.5,7814.75,21.061234660825196,19.895421428571428,44.495421428571426,1.4244170816640156,1.4244170816640156,3.922927250558829
IL408,11.5,10272.416666666666,15.017013318545986,14.672794285714287,36.33946095238095,0.9871055587612209,0.9871055587612209,5.315590394821458
IL409,8.5,9539.388888888889,27.3840651551199,28.541075396825402,54.096630952380956,2.7242034467746876,2.7242034467746876,5.09653825670158
IL410,11.0,9686.95652173913,33.375338847602414,34.062097080745346,74.88818403726708,2.894701608693233,2.894701608693233,3.0543315786053165
IL411,11.5,7985.833333333333,17.661790183842715,17.402519523809527,38.069186190476195,1.2863390826067886,1.2863390826067886,3.072899995896426
IL412,12.0,6887.12,15.691782220812632,15.516371428571428,31.876371428571428,1.2129793563321025,1.2129793563321025,3.66382803966971
IL413,12.5,7079.346153846154,16.221429435737658,16.113434835164835,35.26728098901099,1.1568558046184674,1.1568558046184674,4.507559685025994
IL416,13.0,5807.814814814815,21.825031681064015,22.033302222222225,42.329598518518516,1.8614683776947891,1.8614683776947891,2.4611530481613912
IL417,12.5,10790.576923076924,13.107361343970332,13.083936373626374,32.19932098901099,0.8225417919993093,0.8225417919993093,12.265913463385514
IL418,10.5,7387.681818181818,27.498532872442368,28.491771818181817,53.80995363636364,2.6785464079429504,2.6785464079429504,3.949649475075475
