	Label	area	meanHeight	medianHeight	maxHeight	id
0	102.0,425.0	11694	6.281500445161132	10.729251428571427	29.729251428571427	IL401
1	109.0,531.0	11255	6.459504649362188	10.729251428571427	30.729251428571427	IL401
2	117.5,249.5	11497	12.272088690465836	13.729251428571427	37.72925142857143	IL401
3	120.0,74.0	10703	7.361597499766418	11.729251428571427	29.729251428571427	IL401
4	135.0,628.0	11180	7.054385596728849	10.729251428571427	36.72925142857143	IL401
5	240.0,315.0	9188	10.232081206542695	11.729251428571427	28.729251428571427	IL401
6	257.0,516.0	10529	10.328833535134255	12.729251428571427	26.729251428571427	IL401
7	262.6666666666667,95.0	10631	10.393629191716943	11.729251428571427	27.729251428571427	IL401
8	277.75,402.5	11408	9.433055776397513	10.729251428571427	26.729251428571427	IL401
9	291.25,191.75	11239	9.414187810811839	9.729251428571427	27.729251428571427	IL401
10	334.0,614.0	1097	9.60436537569996	9.729251428571427	22.729251428571427	IL401
11	461.0,526.0	10128	11.484188237418188	11.729251428571427	32.72925142857143	IL401
12	468.0,413.0	10694	10.64864548131128	10.729251428571427	30.729251428571427	IL401
13	469.0,196.0	9650	9.816298060695779	10.729251428571427	27.729251428571427	IL401
14	471.1666666666667,103.0	11824	11.844525447515945	12.729251428571427	28.729251428571427	IL401
15	492.0,293.5	10901	10.286906689556659	10.729251428571427	29.729251428571427	IL401
16	600.0,570.0	4778	7.620419281229442	7.729251428571427	22.729251428571427	IL401
17	640.0,31.25	938	2.114112835820894	-0.2707485714285731	18.729251428571427	IL401
18	695.6666666666666,529.0	7116	9.938357668031799	10.729251428571427	26.729251428571427	IL401
19	700.8333333333334,106.33333333333333	2535	4.987634071569456	3.729251428571427	16.729251428571427	IL401
20	706.5,651.0	9376	10.323748015602142	11.729251428571427	30.729251428571427	IL401
21	714.5,349.5	15403	10.202925388189684	11.729251428571427	35.72925142857143	IL401
22	719.0,187.0	12740	9.315436671899526	9.729251428571427	33.72925142857143	IL401
23	724.0,462.0	8203	7.346708456488042	6.729251428571427	34.72925142857143	IL401
24	74.0,216.0	10128	0.037407036786277104	-2.270748571428573	25.729251428571427	IL401
25	753.5,28.0	267	2.3397383199571955	-0.2707485714285731	20.729251428571427	IL401
26	901.0,115.0	8008	1.0365691108891095	4.729251428571427	33.72925142857143	IL401
27	902.0,318.0	6849	3.1833323162922618	9.729251428571427	32.72925142857143	IL401
28	905.0,413.0	6985	2.6851569403824502	8.729251428571427	27.729251428571427	IL401
29	906.0,219.0	7198	2.730640703369982	7.729251428571427	31.729251428571427	IL401
30	925.0,529.0	6881	2.7397150239790697	8.729251428571427	33.72925142857143	IL401
31	926.0,627.0	5812	2.3445301622259347	7.729251428571427	46.72925142857143	IL401
0	113.0,622.0	13632	2.319064600938969	7.356770000000001	27.35677	IL402
1	115.0,183.0	10221	9.450498597984542	11.356770000000001	26.35677	IL402
2	123.0,415.0	12917	4.906975155995976	8.356770000000001	23.35677	IL402
3	134.0,76.0	8071	12.401374138272828	13.356770000000001	34.35677	IL402
4	134.75,519.25	13269	6.622803612178764	10.356770000000001	26.35677	IL402
5	242.75,527.0	4708	1.8574072132540351	2.356770000000001	21.35677	IL402
6	243.25,92.0	9039	7.4982679533134196	9.356770000000001	27.35677	IL402
7	248.625,639.125	91	-6.687186043956043	-6.643229999999999	-1.643229999999999	IL402
8	258.0,413.0	13639	6.970158078304863	8.356770000000001	25.35677	IL402
9	27.666666666666668,94.66666666666667	7035	-1.6595768372423585	1.356770000000001	23.35677	IL402
10	277.75,308.0	15224	9.6806664792433	11.356770000000001	29.35677	IL402
11	284.0,524.0	11909	8.448045505919893	9.356770000000001	26.35677	IL402
12	311.6666666666667,198.33333333333334	10045	9.176282195121953	11.356770000000001	26.35677	IL402
13	337.0,69.0	9047	12.749717938543164	13.356770000000001	30.35677	IL402
14	341.25,205.0	7432	8.323938998923573	9.356770000000001	27.35677	IL402
15	36.05555555555555,208.61111111111111	5614	-5.212521058069113	-10.643229999999999	25.35677	IL402
16	481.0,436.0	14610	8.810294982888433	9.356770000000001	27.35677	IL402
17	486.0,77.0	15764	9.551644397361077	10.356770000000001	29.35677	IL402
18	501.7,190.6	15519	9.85338705006766	11.356770000000001	28.35677	IL402
19	509.0,511.0	16193	9.153781054159207	10.356770000000001	27.35677	IL402
20	510.0,646.0	218	-2.6478171559633026	-3.643229999999999	5.356770000000001	IL402
21	515.5,302.0	17659	10.668056029786513	11.356770000000001	36.35677	IL402
22	654.8333333333334,414.3333333333333	12364	9.370357835651895	9.356770000000001	24.35677	IL402
23	659.0,625.0	10434	11.121960722637532	11.356770000000001	23.35677	IL402
24	66.33333333333333,313.3333333333333	12570	0.6770563961813849	6.356770000000001	24.35677	IL402
25	700.75,402.5	11704	7.940758380041011	9.356770000000001	32.35677	IL402
26	706.0,91.0	18517	9.29596101366312	10.356770000000001	30.35677	IL402
27	726.0,308.5	15780	9.681801685678074	11.356770000000001	29.35677	IL402
28	738.25,192.25	15613	8.696550951770963	11.356770000000001	26.35677	IL402
29	745.0,650.0	5275	7.299897962085311	8.356770000000001	26.35677	IL402
30	751.6666666666666,569.6666666666666	11561	6.94824132600986	8.356770000000001	27.35677	IL402
31	890.5,636.5	7638	1.1441488949986933	6.356770000000001	26.35677	IL402
