	Label	area	meanHeight	medianHeight	maxHeight	id
0	104.5,425.25	12050	17.673583491404862	18.115907142857143	34.11590714285714	IL401
1	143.0,492.0	10579	19.04340501600205	19.115907142857143	37.11590714285714	IL401
2	148.0,104.5	7876	14.608289062613366	15.115907142857143	30.115907142857143	IL401
3	155.0,297.0	9873	16.41591727149079	16.115907142857143	36.11590714285714	IL401
4	169.0,610.0	4496	16.112348423995932	15.115907142857143	36.11590714285714	IL401
5	250.0,503.5	5209	16.627137705345145	17.115907142857143	30.115907142857143	IL401
6	294.66666666666663,192.33333333333331	767	10.852543387967966	11.115907142857143	18.115907142857143	IL401
7	299.75,93.5	1	9.115907142857143	9.115907142857143	9.115907142857143	IL401
8	326.6666666666667,53.333333333333336	6	8.615907142857143	8.615907142857143	9.115907142857143	IL401
9	329.5,399.0	9538	16.167804815325166	16.115907142857143	31.115907142857143	IL401
10	354.0,509.0	5816	15.238156111220277	15.115907142857143	30.115907142857143	IL401
11	418.0,276.0	507	12.656341067906453	12.115907142857143	23.115907142857143	IL401
12	481.0,30.0	151	10.254979990539262	10.115907142857143	16.115907142857143	IL401
13	522.8333333333334,509.3333333333333	9261	15.888393915343915	16.115907142857143	42.11590714285714	IL401
14	558.5,124.0	4	10.365907142857143	10.115907142857143	12.115907142857143	IL401
15	559.0,404.0	8609	15.817382343228847	16.115907142857143	29.115907142857143	IL401
16	684.0,397.6666666666667	6020	16.521554983388704	17.115907142857143	28.115907142857143	IL401
17	694.0,269.0	6420	13.196748264352472	13.115907142857143	26.115907142857143	IL401
18	696.0,25.0	604	14.377496546830653	14.115907142857143	26.115907142857143	IL401
19	701.0,532.0	9081	14.853821469473154	15.115907142857143	31.115907142857143	IL401
20	720.25,627.0	6509	14.154469133946403	14.115907142857143	28.115907142857143	IL401
21	735.5,400.0	4963	16.463277684868025	17.115907142857143	33.11590714285714	IL401
22	742.0,114.5	183	11.165087470725997	11.115907142857143	28.115907142857143	IL401
23	78.0,198.0	10898	19.428625072752535	20.115907142857143	41.11590714285714	IL401
24	86.0,645.0	6420	18.32244919893191	19.115907142857143	35.11590714285714	IL401
25	880.0,444.5	8741	15.61939644614052	15.115907142857143	43.11590714285714	IL401
26	881.0,595.0	4318	13.681678333223054	13.115907142857143	30.115907142857143	IL401
27	891.1666666666666,289.6666666666667	8431	16.513843330735213	16.115907142857143	39.11590714285714	IL401
28	908.5,188.0	6773	17.620705607348505	18.115907142857143	49.11590714285714	IL401
