	Label	area	meanHeight	medianHeight	maxHeight	id
17	573.5,371.0	4906	13.936146016539512	14.092892857142855	30.092892857142857	IL768
18	580.75,267.5	2752	14.281482973421925	15.092892857142855	26.092892857142857	IL768
19	592.0,471.0	10576	15.279636427490813	15.092892857142855	39.09289285714286	IL768
20	606.75,629.5	2785	8.597740253911256	7.092892857142855	29.092892857142857	IL768
21	61.166666666666664,532.0	18426	15.279965471926312	15.092892857142855	37.09289285714286	IL768
22	614.875,95.75	9183	15.21747088175355	15.092892857142855	35.09289285714286	IL768
23	655.5,322.0	5452	13.383795278272716	13.092892857142855	33.09289285714286	IL768
24	667.5,204.0	8588	15.6004615576552	16.092892857142857	37.09289285714286	IL768
25	670.25,635.5	3070	8.22579187994416	8.092892857142855	27.092892857142857	IL768
26	701.1666666666666,72.0	6598	16.132450298791838	16.092892857142857	30.092892857142857	IL768
27	726.5,399.0	5623	14.657893746347908	15.092892857142855	30.092892857142857	IL768
28	737.75,498.0	5791	16.313752812245603	17.092892857142857	33.09289285714286	IL768
29	853.5,66.0	3122	12.72998446508648	14.092892857142855	28.092892857142857	IL768
30	914.0,284.0	8803	14.110046100355396	14.092892857142855	29.092892857142857	IL768
31	922.8333333333334,510.0	9762	13.81077853630696	14.092892857142855	29.092892857142857	IL768
32	933.5,373.0	10699	15.693790137262491	16.092892857142857	32.09289285714286	IL768
33	956.0,611.0	8369	12.323147367837086	12.092892857142855	33.09289285714286	IL768
34	961.0,157.33333333333334	8680	16.459137096774192	16.092892857142857	34.09289285714286	IL768
35	964.25,71.0	6840	15.158682330827064	15.092892857142855	31.092892857142857	IL768
0	114.0,483.0	3855	13.745262758940152	13.882487142857142	28.882487142857144	IL769
1	125.0,200.0	4408	11.856398213637542	11.882487142857142	28.882487142857144	IL769
2	22.75,259.0	7830	16.713521625615762	16.882487142857144	36.882487142857144	IL769
3	250.0,504.0	5951	11.479529656720358	11.882487142857142	29.882487142857144	IL769
4	257.0,187.0	6061	14.857903740778278	15.882487142857142	30.882487142857144	IL769
5	3.0,354.0	4231	15.34431649761961	15.882487142857142	32.882487142857144	IL769
6	318.5,569.6666666666666	12573	13.827846245696561	13.882487142857142	31.882487142857144	IL769
7	331.6666666666667,131.0	11568	13.067048000395177	13.882487142857142	28.882487142857144	IL769
8	336.0,286.0	15954	12.212310384677375	12.882487142857142	32.882487142857144	IL769
9	369.25,478.5	11880	10.837032597402596	10.882487142857142	31.882487142857144	IL769
10	391.0,55.0	7733	11.34905897785003	10.882487142857142	30.882487142857144	IL769
11	4.0,466.0	4814	14.29669570122856	13.882487142857142	36.882487142857144	IL769
12	404.0,213.0	7837	12.61159266793051	12.882487142857142	31.882487142857144	IL769
13	420.5,583.0	6325	13.25276382269904	12.882487142857142	37.882487142857144	IL769
14	46.5,166.5	6871	15.02991837557436	14.882487142857142	32.882487142857144	IL769
15	546.0,394.0	3397	15.424435921190968	16.882487142857144	32.882487142857144	IL769
16	589.0,504.0	13096	15.130120007854087	15.882487142857142	35.882487142857144	IL769
17	631.0,383.0	9781	15.29594179984518	15.882487142857142	34.882487142857144	IL769
18	645.0,214.0	10794	12.447986494348713	12.882487142857142	29.882487142857144	IL769
19	653.3333333333334,99.33333333333333	5473	7.279527157474353	5.882487142857142	31.882487142857144	IL769
20	694.0,577.5	16528	15.275093628820356	15.882487142857142	35.882487142857144	IL769
21	70.0,45.0	6720	11.135165714285714	10.882487142857142	25.882487142857144	IL769
22	704.5,280.0	3291	7.254410570386769	6.882487142857142	19.882487142857144	IL769
23	71.0,569.0	12616	14.603714156173565	14.882487142857142	37.882487142857144	IL769
24	713.75,190.0	6401	13.383190158011024	13.882487142857142	30.882487142857144	IL769
25	719.0,384.0	8657	16.70644463390485	17.882487142857144	36.882487142857144	IL769
26	86.5,394.0	8775	12.190863211233212	11.882487142857142	31.882487142857144	IL769
27	886.0,85.0	4588	10.376820185577282	10.882487142857142	26.882487142857144	IL769
28	893.8333333333334,387.6666666666667	3924	13.281569711664483	13.882487142857142	25.882487142857144	IL769
29	907.0,194.0	7524	12.12371521303258	12.882487142857142	29.882487142857144	IL769
30	927.5,505.0	10028	12.506041191520884	12.882487142857142	29.882487142857144	IL769
31	944.3333333333333,583.3333333333333	2879	4.74042392646256	4.882487142857142	17.882487142857144	IL769
32	950.25,274.0	9505	13.317310919816636	13.882487142857142	27.882487142857144	IL769
33	952.4,662.8	1167	5.0521529526257805	4.882487142857142	13.882487142857142	IL769
34	965.25,392.5	6491	13.733819757246296	13.882487142857142	30.882487142857144	IL769
35	988.5,82.0	5717	15.101133285939179	14.882487142857142	33.882487142857144	IL769
0	103.0,496.0	6367	13.927536738315869	12.951095714285714	35.951095714285714	IL771
1	111.33333333333333,598.3333333333334	12496	13.617869081763306	12.951095714285714	30.951095714285714	IL771
2	2.0,177.0	3698	7.232599229699449	6.951095714285714	23.951095714285714	IL771
3	206.0,72.0	1110	7.577221840411841	7.951095714285714	24.951095714285714	IL771
4	223.0,611.0	5845	14.565295885372112	15.951095714285714	32.951095714285714	IL771
5	24.0,471.0	6419	14.665225641065586	14.951095714285714	32.951095714285714	IL771
6	248.0,288.0	6956	16.454545973055122	16.951095714285714	33.951095714285714	IL771
7	300.1666666666667,362.6666666666667	11241	13.736079256675183	13.951095714285714	29.951095714285714	IL771
8	315.0,176.5	11787	13.484649629616161	13.951095714285714	30.951095714285714	IL771
9	325.0,576.0	8525	12.83297254713029	12.951095714285714	29.951095714285714	IL771
10	327.0,474.0	9205	11.735669315589352	11.951095714285714	27.951095714285714	IL771
11	334.0,69.5	3018	5.475946608917919	4.951095714285714	16.951095714285714	IL771
12	397.0,411.0	8878	12.475876070221734	12.951095714285714	34.951095714285714	IL771
13	40.0,277.5	4576	9.455466343656344	8.951095714285714	24.951095714285714	IL771
14	404.75,303.0	8214	14.674494789036139	14.951095714285714	31.951095714285714	IL771
15	404.875,618.5	8435	13.055422922347361	12.951095714285714	30.951095714285714	IL771
16	407.75,179.5	7438	13.573171541120885	13.951095714285714	30.951095714285714	IL771
17	46.5,392.0	9652	13.029317844414184	12.951095714285714	36.951095714285714	IL771
18	47.75,77.5	9716	14.816987027583366	14.951095714285714	31.951095714285714	IL771
19	537.0,72.0	5922	12.784429047619046	12.951095714285714	32.951095714285714	IL771
