	Label	area	meanHeight	medianHeight	maxHeight	id
0	126.75,292.0	4997	15.25461200377369	15.863177142857143	27.863177142857143	IL592
1	197.0,440.0	1813	12.495278632101492	12.863177142857143	26.863177142857143	IL592
2	20.0,300.5	4252	18.990411385566457	19.863177142857143	30.863177142857143	IL592
3	218.5,351.5	213	10.079139584171696	9.863177142857143	18.863177142857143	IL592
4	22.0,508.0	7915	17.43854037722227	17.863177142857143	37.86317714285714	IL592
5	25.75,629.0	2465	17.61327856273544	17.863177142857143	29.863177142857143	IL592
6	317.0,615.5	7148	12.595829633064195	12.863177142857143	24.863177142857143	IL592
7	341.5,304.0	8452	11.810881828138736	11.863177142857143	23.863177142857143	IL592
8	348.6666666666667,213.33333333333334	6761	12.373900408646225	12.863177142857143	25.863177142857143	IL592
9	353.3333333333333,530.0	4771	10.095623170943501	9.863177142857143	20.863177142857143	IL592
10	367.0,34.5	1096	13.129600500521374	14.863177142857143	24.863177142857143	IL592
11	378.0,119.0	2595	8.640441112028626	8.863177142857143	19.863177142857143	IL592
12	385.625,412.0	7590	14.215482808206286	13.863177142857143	26.863177142857143	IL592
13	49.5,408.0	2032	8.492114150731158	7.863177142857143	18.863177142857143	IL592
14	49.5,87.0	7506	16.597123319249366	16.863177142857143	31.863177142857143	IL592
15	585.0,512.5	334	4.806290915312232	4.863177142857143	8.863177142857143	IL592
16	588.0,95.0	16	6.363177142857143	5.863177142857143	9.863177142857143	IL592
17	627.0,202.0	8060	13.92632850762141	13.863177142857143	26.863177142857143	IL592
18	63.75,644.0	6550	15.67722294438386	15.863177142857143	29.863177142857143	IL592
19	635.5,70.0	1884	12.497465890203213	11.863177142857143	23.863177142857143	IL592
20	639.5,424.5	8041	13.278921453266296	12.863177142857143	25.863177142857143	IL592
21	646.0,302.0	7921	14.137889931646438	14.863177142857143	27.863177142857143	IL592
22	647.5,596.0	7114	12.26267109843769	11.863177142857143	25.863177142857143	IL592
23	649.75,118.0	662	5.686439982736296	4.863177142857143	10.863177142857143	IL592
24	769.275,515.875	54	4.252066031746033	3.8631771428571433	5.863177142857143	IL592
25	774.5,650.0	92	6.482742360248448	6.863177142857143	13.863177142857143	IL592
26	777.0,117.0	342	12.287153751044276	12.863177142857143	20.863177142857143	IL592
27	785.0,394.0	959	11.500299144942648	12.863177142857143	19.863177142857143	IL592
28	90.0,194.0	9025	15.071487392164624	14.863177142857143	29.863177142857143	IL592
29	915.0,614.3333333333334	7415	13.005726030247569	12.863177142857143	24.863177142857143	IL592
30	927.0,122.0	7643	15.789907484346084	15.863177142857143	28.863177142857143	IL592
31	929.8333333333334,219.0	8738	16.50897709708008	16.863177142857143	30.863177142857143	IL592
32	930.0,528.5	1023	7.8934801731601745	6.863177142857143	19.863177142857143	IL592
33	940.75,366.5	13615	14.318189996327579	14.863177142857143	25.863177142857143	IL592
34	946.0,25.0	216	6.353917883597884	4.863177142857143	18.863177142857143	IL592
0	10.0,200.0	4156	18.978665029561395	19.667548571428572	38.66754857142857	IL593
1	118.5,160.0	13722	12.806813984633646	12.667548571428572	32.66754857142857	IL593
2	142.0,295.5	6143	16.142560780446967	16.667548571428572	30.667548571428572	IL593
3	144.0,510.0	5354	15.187160076845085	15.667548571428572	30.667548571428572	IL593
4	149.5,401.5	5196	13.71951161992742	14.667548571428572	31.667548571428572	IL593
5	273.5,296.0	2076	15.397799053124142	15.667548571428572	37.66754857142857	IL593
6	294.5,108.0	4683	16.59836215246637	17.667548571428572	37.66754857142857	IL593
7	30.0,390.0	4544	17.299150684104628	17.667548571428572	32.66754857142857	IL593
8	300.41666666666663,522.8333333333333	5965	16.79831135432882	17.667548571428572	30.667548571428572	IL593
9	309.0,604.0	7529	15.481069623361098	15.667548571428572	32.66754857142857	IL593
10	327.0,425.0	5916	16.047366015647636	16.667548571428572	34.66754857142857	IL593
11	349.0,334.0	5782	17.87370561051539	18.667548571428572	35.66754857142857	IL593
12	36.0,287.0	5106	18.534371916512786	19.667548571428572	40.66754857142857	IL593
13	370.6666666666667,202.66666666666666	11333	16.313096969910884	16.667548571428572	32.66754857142857	IL593
14	411.0,283.0	6377	16.30374113846636	16.667548571428572	38.66754857142857	IL593
15	427.0,93.0	7582	16.184958225873313	16.667548571428572	38.66754857142857	IL593
16	428.3333333333333,404.3333333333333	6453	15.398371444510861	16.667548571428572	28.667548571428572	IL593
17	441.3333333333333,573.8333333333334	8663	16.37919580679738	16.667548571428572	29.667548571428572	IL593
18	554.0,295.0	3915	13.74596491881044	14.667548571428572	29.667548571428572	IL593
19	56.0,484.0	5498	17.40308876786364	17.667548571428572	43.66754857142857	IL593
20	585.0,531.25	4387	15.901193431241655	15.667548571428572	28.667548571428572	IL593
21	59.0,605.0	11182	18.93458487978128	18.667548571428572	36.66754857142857	IL593
22	602.0,96.25	8264	17.060941601438255	17.667548571428572	37.66754857142857	IL593
23	620.6,605.2	7787	16.690535601093398	17.667548571428572	31.667548571428572	IL593
24	638.0,412.0	166	3.8000786919104996	0.667548571428572	14.667548571428572	IL593
25	639.0,297.0	7624	17.305796210463196	17.667548571428572	35.66754857142857	IL593
26	700.0,501.0	5957	15.095112781601475	15.667548571428572	35.66754857142857	IL593
27	710.0,334.0	4979	18.74467249189453	19.667548571428572	31.667548571428572	IL593
28	712.0,209.0	7461	15.50336146514255	16.667548571428572	37.66754857142857	IL593
29	723.0,631.0	4855	18.68752797410622	19.667548571428572	35.66754857142857	IL593
30	729.0,100.0	6195	16.919848813559323	17.667548571428572	34.66754857142857	IL593
31	853.5,409.5	2503	14.70150782032989	15.667548571428572	25.667548571428572	IL593
32	863.75,638.75	4164	16.318124940304653	16.667548571428572	32.66754857142857	IL593
33	880.2857142857143,521.5	3992	15.661286046378475	15.667548571428572	28.667548571428572	IL593
34	886.0,122.0	9062	15.247001230885648	16.667548571428572	32.66754857142857	IL593
35	906.0,203.0	6182	16.3144266044276	16.667548571428572	38.66754857142857	IL593
36	919.25,307.0	10184	18.466154227359443	18.667548571428572	33.66754857142857	IL593
37	959.0,419.5	6636	16.47842861965039	17.667548571428572	33.66754857142857	IL593
38	961.1666666666666,514.3333333333334	6012	16.835046908088582	17.667548571428572	31.667548571428572	IL593
39	992.0,629.0	5089	15.025379186480645	15.667548571428572	28.667548571428572	IL593
40	997.5,201.0	5501	15.422138645960477	16.667548571428572	29.667548571428572	IL593
0	133.0,521.0	10185	11.355147943053503	10.70399428571428	33.70399428571428	IL594
1	142.0,119.0	6580	13.207641702127653	13.70399428571428	32.70399428571428	IL594
2	145.25,231.0	5480	11.71914027111574	11.70399428571428	28.70399428571428	IL594
3	15.5,621.5	4816	15.990123853820592	15.70399428571428	45.70399428571428	IL594
4	18.0,136.0	4124	13.606758592212827	12.70399428571428	37.70399428571428	IL594
5	293.0,296.0	6366	10.873017220052958	10.70399428571428	27.70399428571428	IL594
6	310.5,439.0	6445	12.596313913332587	12.70399428571428	26.70399428571428	IL594
7	317.5,161.0	9479	11.247828023450332	10.70399428571428	29.70399428571428	IL594
8	321.9,580.6	7966	12.067790419281941	11.70399428571428	28.70399428571428	IL594
9	382.3333333333333,59.0	7945	11.771080503461292	11.70399428571428	32.70399428571428	IL594
10	395.25,639.5	5562	10.622009388195401	10.70399428571428	31.70399428571428	IL594
11	404.5,548.0	6939	12.019889947913441	11.70399428571428	31.70399428571428	IL594
12	404.6666666666667,416.3333333333333	6343	12.615865639963062	12.70399428571428	29.70399428571428	IL594
13	423.5,225.0	5645	11.486988085537135	10.70399428571428	31.70399428571428	IL594
14	431.0,334.0	5140	11.281231639799884	10.70399428571428	28.70399428571428	IL594
15	45.0,462.0	9849	13.492094600467048	12.70399428571428	38.70399428571428	IL594
16	47.25,356.0	7787	10.710800501201632	10.70399428571428	36.70399428571428	IL594
17	52.0,55.0	5392	12.447874107672739	11.70399428571428	36.70399428571428	IL594
18	570.5,321.0	6056	11.664033915833173	11.70399428571428	26.70399428571428	IL594
19	572.5,520.0	5471	11.264220935321298	10.70399428571428	32.70399428571428	IL594
20	578.6666666666666,432.6666666666667	4007	11.961793137723262	11.70399428571428	27.70399428571428	IL594
21	58.5,247.0	7315	13.23208724538619	12.70399428571428	31.70399428571428	IL594
22	582.25,83.0	8046	12.326663935229568	12.70399428571428	29.70399428571428	IL594
23	631.75,632.0	8384	12.257548675027259	11.70399428571428	27.70399428571428	IL594
24	667.25,196.0	10829	12.146879131960475	11.70399428571428	29.70399428571428	IL594
25	677.0,450.0	6244	11.519817475976936	11.70399428571428	29.70399428571428	IL594
26	679.0,549.0	8353	13.27660292931538	13.70399428571428	29.70399428571428	IL594
27	683.375,364.0	8627	12.668756080080804	12.70399428571428	28.70399428571428	IL594
28	689.75,647.0	5113	14.454434340476652	14.70399428571428	30.70399428571428	IL594
29	692.0,91.0	8245	12.820792345144241	12.70399428571428	32.70399428571428	IL594
30	746.0,27.0	628	9.934886005459504	11.70399428571428	19.70399428571428	IL594
31	84.0,661.0	8062	11.569536334833607	11.70399428571428	28.70399428571428	IL594
32	865.0,34.0	1370	13.356549030239826	13.70399428571428	28.70399428571428	IL594
33	866.0,270.0	6587	11.57237139213602	11.70399428571428	31.70399428571428	IL594
34	874.0,118.0	5418	12.465160767810993	12.70399428571428	29.70399428571428	IL594
35	908.5,420.0	9899	13.134542825970875	12.70399428571428	31.70399428571428	IL594
36	926.0,296.3333333333333	11482	13.369819054918253	13.70399428571428	27.70399428571428	IL594
37	926.75,526.5	3670	8.656310362008561	7.7039942857142805	24.70399428571428	IL594
38	948.25,630.5	10566	12.944671930991582	12.70399428571428	30.70399428571428	IL594
39	954.5,141.0	10306	13.089885999279197	12.70399428571428	28.70399428571428	IL594
40	958.75,32.0	2895	12.619711038736732	12.70399428571428	24.70399428571428	IL594
0	11.5,639.0	3893	16.03617306704341	15.81475	40.814750000000004	IL595
1	127.0,618.0	7190	12.063706884561892	11.81475	28.81475	IL595
2	131.0,512.0	7274	9.731989483090462	9.81475	21.81475	IL595
3	134.5,203.5	6117	12.84025269740069	12.81475	28.81475	IL595
4	149.0,281.0	5584	12.122772922636106	11.81475	28.81475	IL595
5	15.666666666666666,507.0	3610	11.130816481994461	10.81475	27.81475	IL595
6	151.5,84.0	4698	12.641697637292463	12.81475	33.814750000000004	IL595
7	268.1666666666667,522.3333333333334	2851	10.126219659768505	9.81475	24.81475	IL595
8	277.0,223.0	3067	10.84833330616237	10.81475	21.81475	IL595
9	29.0,105.0	7046	15.718809040590404	15.81475	40.814750000000004	IL595
10	302.3333333333333,118.66666666666667	5870	11.823438245315163	11.81475	24.81475	IL595
11	328.5,639.0	5486	11.685511939482321	11.81475	39.814750000000004	IL595
12	330.3333333333333,437.0	7658	12.479022656045966	12.81475	28.81475	IL595
13	339.25,268.0	11425	12.095100109409191	11.81475	27.81475	IL595
14	394.0,640.5	5301	12.847951282776837	12.81475	27.81475	IL595
15	403.5,523.0	7721	11.550794553814274	11.81475	29.81475	IL595
16	407.0,32.0	2825	7.308201327433629	7.81475	17.81475	IL595
17	410.8333333333333,137.0	5862	10.249584527465029	9.81475	23.81475	IL595
18	42.5,261.5	7528	12.680849893730073	12.81475	27.81475	IL595
19	433.0,385.0	8005	11.721433322923172	11.81475	24.81475	IL595
20	453.0,220.0	4092	10.624622922776151	10.81475	21.81475	IL595
21	537.4375,36.6875	642	13.506338785046726	13.81475	25.81475	IL595
22	566.75,107.75	3789	11.116412707838482	10.81475	25.81475	IL595
23	571.0,618.0	3201	11.944396985317088	12.81475	26.81475	IL595
24	582.0,420.0	2991	12.853198679371449	12.81475	30.81475	IL595
25	594.75,288.5	6198	11.448825508228463	11.81475	26.81475	IL595
26	598.5555555555555,509.8888888888889	4945	11.291595298281091	11.81475	22.81475	IL595
27	647.25,170.0	6453	9.76640039516504	9.81475	24.81475	IL595
28	658.0,653.0	5929	15.269295454545453	15.81475	31.81475	IL595
29	678.0,444.0	6952	11.545762658227847	10.81475	29.81475	IL595
30	697.0,536.0	5645	11.428213241806912	11.81475	27.81475	IL595
31	70.0,396.5	10804	13.331873287671232	12.81475	36.814750000000004	IL595
32	712.0,292.0	5680	11.714221830985917	11.81475	25.81475	IL595
33	828.25,220.5	2974	8.81811247478144	8.81475	19.81475	IL595
34	886.3333333333334,503.3333333333333	11359	11.16715778237521	10.81475	25.81475	IL595
35	887.0,161.0	7597	11.706154501777018	11.81475	27.81475	IL595
36	917.0,290.0	11287	11.230715269779392	10.81475	28.81475	IL595
