	Label	area	meanHeight	medianHeight	maxHeight	id
0	104.75,205.5	9875	16.781119204339966	16.505068571428573	33.50506857142857	IL401
1	133.0,95.0	4387	15.028205111205184	14.505068571428572	27.505068571428573	IL401
2	139.0,610.5	8949	16.31633239978928	16.505068571428573	37.50506857142857	IL401
3	173.0,512.0	5634	16.750187492266342	16.505068571428573	37.50506857142857	IL401
4	276.6,206.2	10	10.605068571428573	10.505068571428572	11.505068571428572	IL401
5	319.5,395.5	7203	15.281967085936417	15.505068571428572	28.505068571428573	IL401
6	320.25,35.5	405	16.608772275132274	16.505068571428573	28.505068571428573	IL401
7	351.0,502.0	6870	15.551793462258265	15.505068571428572	27.505068571428573	IL401
8	461.2,516.0	6826	14.604394677493618	14.505068571428572	24.505068571428573	IL401
9	473.0,38.0	1141	14.008136056091148	13.505068571428572	28.505068571428573	IL401
10	519.0,405.0	7516	14.970209603892647	14.505068571428572	27.505068571428573	IL401
11	64.0,508.0	6581	18.21681450669677	18.505068571428573	33.50506857142857	IL401
12	68.0,397.0	7511	17.53329384103315	17.505068571428573	34.50506857142857	IL401
13	715.0,387.0	8463	15.526219463547205	15.505068571428572	26.505068571428573	IL401
14	721.0,520.0	6029	14.249636493140299	14.505068571428572	26.505068571428573	IL401
15	731.5,32.666666666666664	2265	17.08387651844844	16.505068571428573	29.505068571428573	IL401
16	732.5,280.0	4188	15.693941541820168	15.505068571428572	29.505068571428573	IL401
17	735.0,627.0	3522	14.526931149509208	13.505068571428572	26.505068571428573	IL401
18	88.16666666666667,318.0	8606	16.29021846685037	16.005068571428573	30.505068571428573	IL401
19	887.75,635.5	1692	15.025163134076324	14.505068571428572	24.505068571428573	IL401
20	903.0,531.0	4511	15.354990983310637	15.505068571428572	27.505068571428573	IL401
21	903.8333333333334,256.3333333333333	10142	16.81309460179734	16.505068571428573	31.505068571428573	IL401
22	906.0,423.0	4208	16.158110396523625	16.505068571428573	27.505068571428573	IL401
23	912.0,68.5	4760	15.702127394957982	15.505068571428572	26.505068571428573	IL401
0	100.16666666666667,650.3333333333334	16517	10.82609434582551	11.794429999999998	31.79443	IL402
1	11.0,432.0	4726	14.250629746085483	14.794429999999998	32.79443	IL402
2	114.0,41.0	2100	5.371572857142855	4.794429999999998	28.79443	IL402
3	119.0,521.0	16285	15.428633254528705	15.794429999999998	38.79443	IL402
4	199.0,327.0	15938	9.500227465177563	9.794429999999998	31.79443	IL402
5	20.0,524.0	7497	15.870860572228892	16.79443	33.79443	IL402
