,Height
IL401,4.293404285714286
IL402,5.24393
IL404,4.411341428571428
IL405,4.706964285714286
IL407,3.7643971428571428
IL408,3.5364614285714286
IL409,3.3943485714285715
IL410,3.6946714285714286
IL411,3.85972
IL412,3.9813385714285716
IL413,3.295032857142857
IL416,3.8888614285714285
IL417,4.0717357142857145
IL418,3.5601142857142856
IL419,2.9496985714285713
IL420,4.496698571428571
IL421,3.8387114285714286
IL422,3.7080457142857144
IL423,4.033014285714286
IL424,3.66472
IL425,3.329017142857143
IL426,4.722264285714286
IL427,3.7305385714285713
IL428,4.45545
IL430,4.671041428571429
IL431,3.04077
IL432,4.700118571428572
IL433,5.323298571428571
IL434,5.216905714285715
IL435,4.328651428571429
IL436,4.289957142857143
IL439,5.340055714285715
IL440,4.742
IL442,4.555677142857143
IL445,3.452677142857143
IL446,3.7720585714285715
IL448,4.444247142857143
IL450,4.119537142857143
IL451,4.522718571428571
IL452,3.9079942857142855
IL453,4.772887142857143
IL454,5.474902857142857
IL455,5.082078571428571
IL456,4.304638571428572
IL457,4.9317714285714285
IL458,3.584022857142857
IL459,4.424625714285714
IL460,3.5721357142857144
IL462,3.838837142857143
IL463,4.482814285714285
IL465,4.087878571428571
IL466,2.3480242857142857
IL467,4.7315128571428575
IL468,6.128537142857143
IL470,5.522164285714286
IL471,5.092902857142857
IL472,4.834127142857143
IL473,3.3727657142857144
IL474,5.451235714285715
IL475,4.383451428571429
IL476,3.4386428571428573
IL479,2.8879657142857145
IL481,4.268897142857143
IL482,4.862252857142857
IL483,2.894857142857143
IL484,5.544958571428571
IL485,3.601477142857143
IL486,4.580975714285715
IL487,5.874921428571429
IL488,5.200244285714286
IL489,3.7538685714285713
IL490,4.402301428571429
IL491,5.9131985714285715
IL492,5.463188571428572
IL493,5.6688342857142855
IL494,4.1268014285714285
IL495,3.59201
IL496,4.788127142857143
IL497,3.42706
IL498,3.2266242857142857
IL503,5.130941428571429
IL505,4.719945714285714
IL506,4.565434285714286
IL507,2.0681342857142857
IL509,5.775281428571429
IL511,1.2601628571428571
IL512,3.588767142857143
IL514,4.3670542857142856
IL515,3.4650371428571427
IL516,5.436604285714286
IL517,3.9736242857142856
IL518,3.854485714285714
IL521,4.920487142857143
IL522,3.5746714285714285
IL523,4.206317142857142
IL524,4.85288
IL525,5.768554285714286
IL526,4.929898571428572
IL528,3.79215
IL529,3.0667614285714286
IL530,4.1681671428571425
IL532,4.955158571428571
IL533,4.115838571428571
IL535,3.7199757142857144
IL536,4.268687142857143
IL537,3.700205714285714
IL538,4.681367142857143
IL539,3.8278985714285714
IL541,3.594842857142857
IL542,3.8536642857142858
IL543,4.608338571428572
IL544,3.449405714285714
IL545,3.762797142857143
IL546,3.3880314285714284
IL547,4.187465714285715
IL548,3.957867142857143
IL549,4.160331428571428
IL550,4.923082857142857
IL551,3.17678
IL552,5.641534285714286
IL553,5.250151428571429
IL554,4.842485714285714
IL555,4.411867142857143
IL557,4.502575714285714
IL559,3.425205714285714
IL560,4.227561428571429
IL561,6.586838571428571
IL562,6.542232857142857
IL563,4.318097142857143
IL564,5.4611728571428575
IL566,5.338228571428571
