,Height
IL401,4.636085714285715
IL402,6.432651428571429
IL404,5.553815714285714
IL405,5.856891428571428
IL407,5.391101428571429
IL408,5.130898571428571
IL409,4.806471428571428
IL410,5.05434
IL411,5.336874285714286
IL412,5.2042785714285715
IL413,4.658088571428571
IL416,5.038337142857143
IL417,5.438732857142857
IL418,4.583295714285715
IL419,3.6641385714285715
IL420,5.775114285714285
IL421,5.109974285714285
IL422,4.557568571428572
IL423,5.029027142857143
IL424,4.8967728571428575
IL425,4.395757142857143
IL426,5.666277142857143
IL427,4.228548571428571
IL428,5.578342857142857
IL430,5.670318571428571
IL431,3.5977614285714288
IL432,5.6508457142857145
IL433,6.603778571428571
IL434,6.195144285714286
IL435,5.187238571428572
IL436,4.87588
IL439,6.189967142857143
IL440,5.758698571428571
IL442,5.64557
IL445,4.203251428571429
IL446,4.758331428571428
IL448,5.40273
IL450,5.087724285714286
IL451,5.654421428571428
IL452,4.49003
IL453,5.582498571428571
IL454,6.764447142857143
IL455,6.191577142857143
IL456,5.708992857142857
IL457,6.008181428571429
IL458,4.5819342857142855
IL459,5.326182857142857
IL460,4.58638
IL462,4.777845714285714
IL463,6.07958
IL465,5.452205714285714
IL466,2.53405
IL467,6.207297142857143
IL468,8.4486
IL470,7.103542857142857
IL471,6.473814285714286
IL472,7.516122857142857
IL473,4.422788571428572
IL474,7.106174285714285
IL475,5.770678571428571
IL476,4.476217142857143
IL479,3.51387
IL481,5.820507142857143
IL482,6.453057142857143
IL483,3.858224285714286
IL484,7.267212857142857
IL485,4.913631428571429
IL486,5.733775714285715
IL488,8.521338571428572
IL489,5.134631428571429
IL490,5.483261428571429
IL491,8.095068571428572
IL492,7.324594285714285
IL493,7.79908
IL494,5.18867
IL495,4.199742857142857
IL496,6.15941
IL497,4.204565714285715
IL498,3.73154
IL503,5.434674285714285
IL505,5.241738571428572
IL506,5.177734285714286
IL507,2.5542
IL509,6.670187142857142
IL511,1.6959757142857144
IL512,3.2195785714285714
