,Height
IL401,6.313391428571428
IL402,6.575432857142857
IL404,6.606542857142857
IL405,6.7868
IL407,5.87132
IL408,5.896714285714285
IL409,5.950454285714286
IL410,6.085912857142858
IL411,5.9749
IL412,6.032862857142857
IL413,5.502134285714286
IL416,6.196581428571428
IL417,5.869401428571429
IL418,5.679038571428571
IL419,5.768224285714286
IL420,6.602507142857143
IL421,6.129805714285714
IL422,6.202331428571428
IL423,6.29103
IL424,5.661468571428571
IL425,5.2629
IL426,6.329084285714286
IL427,5.655251428571429
IL428,6.24009
IL430,6.154401428571428
IL431,5.704594285714285
IL432,6.392784285714286
IL433,6.313557142857142
IL434,6.892398571428571
IL435,6.521917142857143
IL436,6.5368957142857145
IL439,7.21696
IL440,6.364844285714286
IL442,6.257625714285714
IL445,5.948541428571429
IL446,5.596871428571428
IL448,6.3020371428571424
IL450,6.061281428571428
IL451,6.303952857142857
IL452,6.044954285714286
IL453,6.704785714285714
IL454,5.1394657142857145
IL455,7.018965714285715
IL456,6.265147142857143
IL457,6.5828742857142855
IL458,5.5277
IL459,6.197988571428572
IL460,5.5117457142857145
IL462,5.519894285714286
IL463,6.28594
IL465,5.719087142857143
IL466,3.8621057142857143
IL467,6.70298
IL468,7.36647
IL470,6.879388571428572
IL471,6.66641
IL472,6.106178571428571
IL473,5.30848
IL474,6.93621
IL475,6.378138571428571
IL476,5.775018571428571
IL479,5.083505714285714
IL481,6.115274285714285
IL482,6.646945714285715
IL483,4.9750185714285715
IL484,6.927448571428571
IL485,5.528504285714286
IL486,6.38962
IL487,6.876127142857142
IL488,6.186987142857143
IL489,5.972081428571428
IL490,6.4588342857142855
IL491,7.03034
IL492,6.448405714285714
IL493,6.817565714285714
IL494,5.999201428571428
IL495,5.797054285714285
IL496,6.263562857142857
IL497,5.5294357142857145
IL498,5.133491428571428
IL503,6.561202857142857
IL505,6.2274585714285715
IL506,6.129417142857143
IL507,4.4277
IL509,6.467275714285714
IL511,3.920444285714286
IL512,6.050465714285714
IL514,6.233877142857143
IL515,5.609172857142857
IL516,6.99755
IL517,5.985495714285714
IL518,5.347258571428571
IL521,6.324794285714286
IL522,5.595107142857143
IL523,6.00412
IL524,6.267597142857142
IL525,7.128958571428571
IL526,6.51924
IL528,5.871891428571429
IL529,5.242424285714286
IL530,5.5565428571428575
IL532,6.5053914285714285
IL533,5.589167142857143
IL535,5.7029942857142855
IL536,5.881977142857143
IL537,6.059674285714285
IL538,6.4494171428571425
IL539,5.615927142857143
IL541,5.365125714285714
IL542,5.9169728571428575
IL543,6.4961842857142855
IL544,5.008885714285714
IL545,5.48569
IL546,5.2505685714285715
IL547,5.778757142857143
IL548,5.934394285714285
IL549,5.81364
IL550,6.632121428571429
IL551,4.9900528571428575
IL552,6.701028571428571
IL553,6.658342857142857
IL554,6.005
IL555,6.0660171428571426
IL557,5.698544285714286
IL559,4.97646
IL560,5.8208657142857145
IL561,7.4304814285714285
IL562,7.388987142857143
IL563,5.698328571428571
IL564,6.637224285714286
IL566,6.612098571428572
IL567,6.902971428571429
IL568,6.69744
IL572,7.029447142857143
IL573,6.795798571428572
IL575,7.244698571428572
IL576,6.838205714285714
IL578,7.637237142857143
IL579,6.93861
IL580,7.834638571428571
IL581,6.752142857142857
IL582,8.41362
IL583,6.94941
IL584,6.893804285714285
IL585,7.45532
IL586,7.0504171428571425
IL587,7.885531428571428
IL589,7.375731428571428
IL590,8.216204285714285
IL591,7.41814
IL592,6.804767142857143
IL593,9.425125714285715
IL594,8.12638
IL595,7.621414285714286
IL596,7.470648571428572
IL597,8.19472
IL599,6.514288571428572
IL600,6.384352857142857
IL601,6.408114285714285
IL602,6.529014285714286
IL603,6.351451428571429
IL605,6.342308571428571
IL606,6.3243157142857145
IL607,6.788122857142858
IL609,7.20799
IL611,6.748645714285714
IL612,6.88435
IL613,6.917024285714286
IL614,6.41882
IL615,6.813957142857143
IL617,7.410392857142857
IL618,6.770358571428571
IL619,7.303028571428571
IL620,6.63961
IL621,5.431077142857143
IL622,6.711657142857143
IL623,6.97023
IL625,7.416651428571429
IL626,7.50597
IL627,6.781078571428571
IL628,7.147247142857143
IL629,6.330314285714286
IL631,7.367871428571428
IL633,7.728534285714286
IL634,7.30663
IL639,7.0592814285714285
IL640,6.7117571428571425
IL641,6.909901428571429
IL642,6.963934285714286
IL643,6.733195714285714
IL644,4.72585
IL645,6.57046
IL646,6.9309
IL648,6.995315714285714
IL649,7.295845714285714
IL652,6.570978571428571
IL653,6.0915671428571425
IL655,6.521487142857143
IL656,7.13175
IL659,6.96347
IL660,6.765554285714286
IL661,5.04902
IL662,5.70978
IL664,7.374345714285714
IL665,6.544418571428571
IL667,5.774521428571428
IL669,5.68434
