,Height
IL401,5.510278571428572
IL402,5.308092857142857
IL404,5.501895714285714
IL405,5.362645714285715
IL407,4.890461428571428
IL408,5.015154285714286
IL409,5.085794285714286
IL410,5.4010871428571425
IL411,5.142682857142857
IL412,5.0344685714285715
IL413,4.819597142857143
IL416,5.51689
IL417,5.06719
IL418,5.026551428571429
IL419,5.2729485714285715
IL420,5.621595714285714
IL421,5.2838
IL422,5.698075714285714
IL423,5.405324285714285
IL424,4.879631428571429
IL425,4.517514285714285
IL426,5.3993585714285715
IL427,5.053875714285715
IL428,5.532378571428572
IL430,5.177308571428571
IL431,5.42486
IL432,5.515985714285715
IL433,5.247902857142857
IL434,5.879232857142857
IL435,5.7872
IL436,5.884532857142857
IL439,6.15946
IL440,5.32051
IL442,5.519201428571429
IL445,5.408302857142857
IL446,4.871567142857143
IL448,5.483987142857143
IL450,5.133748571428572
IL451,5.430768571428572
IL452,5.280781428571428
IL453,5.63684
IL454,5.914002857142857
IL455,6.024617142857143
IL456,5.393647142857143
IL457,5.600198571428572
IL458,4.757947142857143
IL459,5.387907142857143
IL460,4.75569
IL462,3.700907142857143
IL463,5.679421428571429
IL465,4.805957142857143
IL466,3.430342857142857
IL467,5.6411
IL468,6.252592857142857
IL470,6.067818571428571
IL471,5.97515
IL472,5.171487142857143
IL473,4.527121428571428
IL474,5.922531428571428
IL475,5.75282
IL476,5.40828
IL479,4.493377142857143
IL481,5.161102857142857
IL482,5.804222857142857
IL483,4.478788571428572
IL484,5.669432857142857
IL485,4.868378571428571
IL486,5.418827142857143
IL487,5.794277142857143
IL488,5.263422857142857
IL489,5.407007142857143
IL490,5.55696
IL491,5.813407142857143
IL492,6.00328
IL493,5.836244285714286
IL494,5.585697142857143
IL495,5.196292857142857
IL496,5.548082857142857
IL497,4.93534
IL498,4.755424285714286
IL503,5.794982857142857
IL505,5.596801428571428
IL506,5.004145714285714
IL507,4.197787142857143
IL509,5.840065714285714
IL511,3.973477142857143
IL512,5.589081428571428
IL514,5.893477142857143
IL515,5.089825714285714
IL516,6.268874285714285
IL517,5.63671
IL518,5.264644285714286
IL521,5.671264285714286
IL522,5.401572857142857
IL523,5.442597142857143
IL524,5.601817142857143
IL525,6.164212857142857
IL526,5.660438571428571
IL528,5.446655714285714
IL529,5.136768571428571
IL530,4.88565
IL532,5.461345714285715
IL533,4.852145714285714
IL535,5.362695714285715
IL536,5.33451
IL537,5.522618571428572
IL538,5.680137142857143
IL539,5.00747
IL541,4.746637142857143
IL542,5.411727142857143
IL543,5.638364285714285
IL544,4.611901428571429
IL545,4.873952857142857
IL546,4.923705714285714
IL547,5.3065
IL548,5.434437142857143
IL549,5.128442857142857
IL550,5.642082857142857
IL551,4.672611428571429
IL552,6.005808571428571
IL553,6.202752857142857
IL554,5.183594285714285
IL555,5.412445714285714
IL557,5.320862857142857
IL559,4.735132857142857
IL560,5.130431428571429
IL561,6.281595714285714
IL562,6.545061428571429
IL563,5.182612857142857
IL564,5.709238571428571
IL566,5.678382857142857
IL567,5.579332857142857
IL568,5.309874285714286
IL572,5.915278571428572
IL573,5.712005714285715
IL575,6.264261428571428
IL576,6.068801428571429
IL578,5.409307142857143
IL579,5.9980657142857146
IL580,6.813285714285715
IL581,6.080284285714286
IL582,6.873142857142857
IL583,5.959002857142857
IL584,6.041585714285715
IL585,6.468737142857143
IL586,5.978014285714286
IL587,6.921672857142857
IL589,6.551092857142857
IL590,7.3181642857142855
IL591,6.3678485714285715
IL592,6.23977
IL593,7.76842
IL594,7.0244471428571424
IL595,6.683598571428571
IL596,6.602805714285714
IL597,6.904795714285714
IL599,5.686878571428571
IL600,5.605001428571429
IL601,5.691254285714286
IL602,5.534178571428572
IL603,5.514621428571429
IL605,5.374157142857143
IL606,5.373164285714286
IL607,5.744834285714286
IL609,6.031032857142857
IL611,6.048101428571429
IL612,5.996471428571429
IL613,6.149094285714286
IL614,5.407465714285714
IL615,6.152721428571429
IL617,6.251422857142857
IL618,5.827328571428572
IL619,6.044244285714286
IL620,5.610258571428571
IL621,4.76123
IL622,5.682672857142857
IL623,5.846807142857143
IL625,6.194052857142857
IL626,6.357447142857143
IL627,5.76473
IL628,6.0291242857142855
IL629,5.592258571428571
IL631,6.2905171428571425
IL633,6.631744285714285
IL634,6.240848571428572
IL639,5.711544285714286
IL640,5.807852857142857
IL641,5.803344285714286
IL642,6.158031428571428
IL643,5.788062857142857
IL644,4.0586271428571425
IL645,6.0784071428571425
IL646,5.730452857142857
IL648,6.219614285714286
IL649,6.291228571428571
IL652,5.47411
IL653,5.247934285714286
IL655,5.577672857142857
IL656,5.9595714285714285
IL659,5.986142857142857
IL660,5.928392857142857
IL661,4.678048571428572
IL662,5.24206
IL664,6.525081428571428
IL665,5.912662857142857
IL667,5.14542
IL669,5.046467142857143
IL670,4.838871428571428
IL671,5.169575714285714
IL672,6.235034285714286
IL673,4.8720485714285715
IL674,6.013522857142857
IL675,5.10199
IL676,5.670164285714286
IL677,5.396771428571428
IL678,5.587385714285714
IL681,4.643282857142857
IL683,4.556622857142857
