acc,growth_rate
IL402,0.2868555836091173
IL405,0.14983622797612814
IL409,0.8017236862357608
IL410,2.0662367723684154
IL416,-0.019682456956623854
IL420,0.1322027915442682
IL421,-0.09959244551752293
IL422,-0.4652652469961685
IL425,0.24034302623399037
IL426,0.6166260094416239
IL428,-0.2829927852104375
IL430,1.8979498220774385
IL432,0.1279923111119465
IL434,-0.10497048963300663
IL439,4.168382890128933
IL442,-0.10806453483174762
IL445,1.1399484099241912
IL446,1.9269719790418456
IL448,-0.20127687774440783
IL450,-0.29603436725311505
IL451,-0.20901721263109657
IL453,-0.345235204784259
IL454,8.710923431376523
IL455,7.73126319231059
IL456,0.20070382187459979
IL457,0.41031678286979256
IL459,-0.03342269750850335
IL462,-0.0011460091151597703
IL463,3.643945890290214
IL468,2.2229659312498073
IL470,1.9427264780758922
IL471,1.6551881186442747
IL472,10.802674104786812
IL473,3.7005351941807683
IL474,6.002838757978394
IL475,
IL476,0.40476714847627326
IL481,2.8159833575281366
IL482,8.956552318536641
IL483,4.290845730749512
IL484,2.4740603626032693
IL486,1.7993310170875811
IL488,15.26596702740184
IL489,1.4314606922345048
IL490,2.956902765173855
IL491,14.737424263563852
IL492,7.127624267892041
IL493,2.2855825816182636
IL494,0.5610450924837036
IL496,0.3602773842153201
IL498,0.9965526036004155
IL503,0.9390253149382204
IL505,3.762692735779284
IL506,
IL516,-0.0927461982725673
IL521,-0.23756686884496606
IL523,0.10563168914274562
IL525,0.40075514673018975
IL539,5.788742733089627
IL541,0.13387485760941473
IL542,-0.35237684045543927
IL551,0.18827367865759081
IL554,5.7974271169950615
IL557,0.4531242193439471
IL560,0.8351347111750836
IL561,0.1099929423805027
IL562,1.0892577861415642
IL564,2.5583645036105978
IL566,0.6581986790903431
IL567,0.44154002866451253
IL572,0.12059932075587655
IL575,0.4163989272272682
IL576,-0.150087135916171
IL578,1.2260884834601524
IL580,3.744002939913704
IL581,2.6345077152315737
IL583,0.4013937391686433
IL584,0.6553115257269815
IL585,0.036024947583769604
IL586,5.3418072882615055
IL587,0.48668905068221235
IL589,0.7388064403845481
IL590,0.3452511707721978
IL591,-0.3066381164293428
IL593,1.1153422777294886
IL594,0.6357077522857595
IL595,-0.09805295539794327
IL597,1.3917773125585626
IL599,0.17296631276364272
IL600,4.954585168550951
IL601,1.9058776619710174
IL611,0.18412917889231561
IL615,0.6811002749080538
IL620,2.647643260310868
IL626,2.8624622684971235
IL628,6.42638025768626
IL631,4.8743505196032295
IL633,3.359456825087532
IL644,0.749605022237275
IL653,-0.29048697294899567
IL655,0.2339646430631654
IL656,-0.18245146810586774
IL659,2.2138775767018166
IL662,1.2503285700312095
IL664,0.23540047319048196
IL665,4.105890791877934
IL667,0.2550873975964351
IL669,
IL671,4.332681286398967
IL672,2.8856565614083345
IL673,1.856805279912381
IL674,1.2105306640474918
IL676,2.5501323709733783
IL681,1.1684088879089882
IL683,2.2367388424206824
IL689,11.33534075356143
IL690,4.675358171807429
IL691,2.316654548593631
IL693,10.315910901090714
IL697,1.547150920860383
IL698,2.1967116098983848
IL699,0.8526997005655699
IL700,0.16786242398229714
IL704,5.381331315763893
IL709,4.121799273880961
IL710,-0.12879019030292138
IL711,0.26450704500449296
IL714,1.8094878614538505
IL717,-0.38081314381351095
IL718,6.410962290387885
IL719,-0.08480960142422657
IL723,0.054938568644271865
IL728,0.5867267159099411
IL729,1.723219832469957
IL731,3.83209410791533
IL734,54.44585313495939
IL735,0.058639579277122524
IL736,0.23630700699076987
IL737,2.087729046832459
IL738,1.0170073483283455
IL739,0.29305779081656896
IL740,0.05281126878400441
IL742,0.0795851830378
IL743,0.1677102279358296
IL744,0.9058283921432865
IL746,1.2306635640589525
IL747,0.05152414200708119
IL749,1.7529765718073496
IL752,-0.2010817354333263
IL753,1.3830584734074876
IL754,0.6361362248027944
IL755,1.061527604480929
IL756,0.7785505845271933
IL757,0.9386920033440798
IL758,-0.31063211726887585
IL759,0.3612213635013554
IL760,1.1506185876224722
IL764,0.7154933630761666
IL765,0.31424769634162164
IL768,1.948886700348748
IL769,0.7196103432782018
IL771,0.754740935347159
IL772,0.29490353994157237
IL773,0.04658793481007642
IL774,1.028685072594075
IL776,3.91546592606897
IL777,0.4146049551546198
IL778,0.3299514808203848
IL784,0.23290458882188694
IL786,-0.38047166186494774
IL788,0.4185730282616419
IL792,-0.1713618630601074
IL795,-0.002986668640265665
