acc,growth_rate
IL402,12.242150171953861
IL404,105.21351680827682
IL405,64.18629749062114
IL408,19.75477388949097
IL409,12.517591201027972
IL410,33.90495058145094
IL412,12.148389331686548
IL416,15.531376819206852
IL420,18.127911871178117
IL421,22.039523754867272
IL422,29.621389732252695
IL425,35.182447019064824
IL426,12.848113588178181
IL427,3.836543446285598
IL428,4.858553435817555
IL430,177.57347867324157
IL432,14.28173998635722
IL434,9.09702531719645
IL435,13.270803820436303
IL439,108.29737667644999
IL442,10.603006926502006
IL445,49.61047184123396
IL446,61.01303687332959
IL448,5.2137435265588365
IL450,4.059818650161251
IL451,3.2913195065256806
IL452,12.655567433041528
IL453,4.474127894731223
IL454,46.516459739047484
IL455,67.00982088125723
IL456,4.9201240206530805
IL457,13.009734450811157
IL458,26.643206147095334
IL459,21.345853442375613
IL462,18.6029581992558
IL463,64.89365522840367
IL468,22.04641064814678
IL470,287.9101495737919
IL471,30.88557083825705
IL472,46.81820592726298
IL473,57.01274784991253
IL474,112.15454400504744
IL475,11.488064001617165
IL476,21.373252256653554
IL481,25.841714949728978
IL482,592.7679662909675
IL483,78.54565917447651
IL484,278.5433202577686
IL486,26.752436101227875
IL488,79.15854417374527
IL489,1171.104858946101
IL490,44.08421027132043
IL491,54.231223747738255
IL492,1490.9150165030742
IL493,13.685032257401934
IL494,6.807222792251988
IL496,14.857948962784226
IL498,13.129037190053856
IL503,16.765220233105303
IL505,14.047418088751296
IL506,25.95175572772111
IL516,6.246390351788989
IL518,9.665899105458614
IL521,57.36432132920528
IL523,3.3144761639411313
IL524,10.533929014856005
IL525,4.073677443383132
IL526,188.11009128295433
IL539,143.53466532101643
IL541,18.67321630590806
IL542,11.967734399351135
IL545,13.174398572147371
IL551,33.87864738318579
IL553,14.139124855410682
IL554,167.95854646528463
IL557,46.59544925717253
IL560,1710.3527398610213
IL561,21.17462004166093
IL562,54.72351769431468
IL563,8.946607666630511
IL564,18.429793943980638
IL566,97.91993964054232
IL567,84.62527206022185
IL572,6.834697271640452
IL575,28.418322650276497
IL576,24.347165537967165
IL578,30.540735168867016
IL580,48.12328752136185
IL581,31.76788434611018
IL583,18.897407122198086
IL584,25.572022839777166
IL585,8.464490100049918
IL586,80.90853958096888
IL587,15.702218175812515
IL589,25.61066757528537
IL590,7.070808161482012
IL591,22.826612123715783
IL592,5.779490809568564
IL593,15.076203035079837
IL594,9.396468743866592
IL595,9.238907641221395
IL597,13.335011220534
IL599,10.05371906148182
IL600,21.946789981895872
IL601,14.693934351795276
IL602,4.480765503841341
IL603,4.954229661405815
IL606,4.252240673604938
IL611,10.61889047317295
IL615,13.169795776764444
IL622,2.3805281212119986
IL623,5.663377709842182
IL626,16.67181261157156
IL627,3.0770771487848405
IL628,33.13185049685626
IL631,20.849011356514502
IL633,20.832556113447207
IL634,3.6388474421514956
IL639,4.46467583857357
IL640,2.935174952324874
IL641,5.867176944547138
IL644,10.700795938061116
IL646,3.8652345396601193
IL649,4.441145827291337
IL653,5.119798831191216
IL655,108.38198470213587
IL656,4.3946473615050285
IL659,19.425430836349165
IL660,7.469099337667449
IL664,10.450525036033495
IL665,24.510407662667674
IL667,24.994584492594814
IL669,8.706246229081815
IL670,5.0679274708044435
IL671,24.48110044695534
IL672,33.785246727702614
IL673,35.921401642875715
IL674,11.197707074489108
IL676,23.285227816505653
IL681,12.107215590767776
IL683,27.30742662771389
IL687,4.667347552258107
IL689,35.25593176707827
IL690,21.927931244664094
IL691,1580.1709810978136
IL693,38.84146351288351
IL696,7.058281737027628
IL697,5.359392946709087
IL698,10.668123939401836
IL699,4.903271778407986
IL700,28.612530828498848
IL704,20.143488256427695
IL710,7.484078719284313
IL711,8.970340699558244
IL712,9.65119495563837
IL714,10.28236421731833
IL717,15.164767095652426
IL718,36.89303528839982
IL719,18.801617858789687
IL723,10.52083066535897
IL728,16.673440959845806
IL729,17.96306306699327
IL731,18.805000671472957
IL734,181.26997408698963
IL735,19.307112743175384
IL736,12.712016657158486
IL737,31.159762366124934
IL738,23.423041841129372
IL739,12.794238996543
IL740,6.564141783340791
IL742,6.409470498102033
IL743,16.08654868679785
IL744,18.035137017085848
IL746,23.51228666504138
IL747,19.867408664259248
IL749,24.601039833893374
IL751,7.878694104415664
IL752,9.72936351556392
IL753,17.97089647734562
IL754,19.478990148374123
IL755,20.632783819448388
IL756,7.660841373610287
IL757,13.652659395227444
IL758,11.732227684036378
IL759,13.006453686940812
IL760,19.486316363713293
IL761,6.692677054264948
IL762,3.3601604459216485
IL763,13.08450977632913
IL764,21.85631478096346
IL765,13.665949434413484
IL767,3.511235016744144
IL768,17.09351086179103
IL769,41.32423365651364
IL771,15.605404888137324
IL772,22.06469024202789
IL773,9.982086236135308
IL774,12.303228754355706
IL776,30.69078852533744
IL777,13.804624700292976
IL778,19.671582420604338
IL784,11.503746219430813
IL786,3.5620885375462668
IL788,12.061372306407456
IL792,7.099320630227109
IL795,4.770344106543627
