,acc,height,coordinates
121,IL407,16.72222775478039,"(909, 270)"
122,IL407,18.576927338959095,"(131, 271)"
123,IL407,18.67045967726755,"(324, 271)"
124,IL407,4.998185910963937,"(716, 272)"
125,IL407,17.65135519965561,"(521, 371)"
126,IL407,18.933306855346494,"(906, 372)"
127,IL407,19.834638781745166,"(313, 373)"
128,IL407,19.746877587715314,"(131, 375)"
129,IL407,18.813743259357107,"(711, 375)"
130,IL407,17.52299699070039,"(520, 482)"
131,IL407,16.025040419908,"(718, 486)"
132,IL407,2.1879006414606716,"(325, 487)"
133,IL407,19.316429826521283,"(127, 488)"
134,IL407,17.69463731463113,"(904, 490)"
135,IL407,15.70543233537855,"(714, 598)"
136,IL407,18.276780195766474,"(318, 600)"
137,IL407,18.24858535323554,"(909, 602)"
138,IL407,18.32180296084964,"(519, 603)"
139,IL407,16.43941490114815,"(125, 604)"
140,IL408,16.788324428915136,"(902, 53)"
141,IL408,4.234274572829349,"(316, 57)"
142,IL408,14.286945044441165,"(133, 61)"
143,IL408,14.59420335164003,"(904, 166)"
144,IL408,14.263654657964658,"(321, 167)"
145,IL408,17.11687918025765,"(516, 167)"
146,IL408,15.277078185232778,"(126, 169)"
147,IL408,16.820759777272578,"(714, 170)"
148,IL408,15.045635399163125,"(711, 281)"
149,IL408,8.524257046658448,"(510, 284)"
150,IL408,17.109316991202927,"(315, 288)"
151,IL408,15.925432078514646,"(906, 288)"
152,IL408,16.989117986227804,"(129, 293)"
153,IL408,13.772334995138962,"(125, 398)"
154,IL408,15.996282165332278,"(318, 400)"
155,IL408,12.621100605984456,"(510, 401)"
156,IL408,14.708689008463807,"(903, 404)"
157,IL408,6.272714084929766,"(708, 405)"
158,IL408,15.24304833448651,"(713, 510)"
159,IL408,14.838694466881858,"(514, 512)"
160,IL408,15.007884471262944,"(902, 512)"
161,IL408,16.26135679219795,"(314, 515)"
162,IL408,14.544870420552297,"(122, 516)"
163,IL408,15.089384723494902,"(903, 611)"
164,IL408,15.59130704095417,"(123, 613)"
165,IL408,16.185535896675564,"(515, 614)"
166,IL408,17.46951599617805,"(318, 616)"
167,IL408,13.738778443646066,"(706, 618)"
168,IL409,13.70890476190476,"(908, 48)"
169,IL409,13.731150225330735,"(321, 54)"
170,IL409,10.067013097003025,"(125, 56)"
171,IL409,16.887079326867962,"(126, 156)"
172,IL409,12.889865396519705,"(707, 158)"
173,IL409,12.9803465396084,"(904, 158)"
174,IL409,15.214840520897814,"(321, 159)"
175,IL409,12.847223516101439,"(515, 159)"
176,IL409,12.06870763948813,"(523, 270)"
177,IL409,12.742569245694883,"(905, 272)"
178,IL409,13.962701217415228,"(318, 273)"
179,IL409,15.727477336818213,"(127, 274)"
180,IL409,9.005922867749618,"(720, 274)"
181,IL409,14.671970756639274,"(319, 384)"
182,IL409,15.914343008460003,"(517, 387)"
183,IL409,16.098024600499805,"(129, 388)"
184,IL409,13.984274965880628,"(709, 388)"
185,IL409,13.979120727449557,"(907, 389)"
186,IL409,11.737825595524681,"(715, 492)"
187,IL409,15.609069376619209,"(319, 493)"
188,IL409,15.258621615425179,"(521, 495)"
189,IL409,16.45046241144508,"(125, 496)"
190,IL409,14.210557903913829,"(909, 497)"
191,IL409,16.275992257734238,"(125, 605)"
192,IL409,15.311357933833138,"(516, 606)"
193,IL409,13.150370119569795,"(712, 606)"
194,IL409,16.96906937661921,"(318, 608)"
195,IL410,9.488326678001961,"(705, 545)"
196,IL410,15.03448837961535,"(124, 89)"
197,IL410,12.855662818611275,"(712, 89)"
198,IL410,13.694617521988253,"(897, 92)"
199,IL410,12.814805339184407,"(512, 198)"
200,IL410,12.639264499018338,"(708, 199)"
201,IL410,13.705851690474951,"(317, 200)"
202,IL410,15.237871464192466,"(126, 201)"
203,IL410,12.17060907764365,"(903, 202)"
204,IL410,15.479094772298563,"(511, 311)"
205,IL410,16.557672459217343,"(120, 313)"
206,IL410,15.460160021406399,"(314, 314)"
207,IL410,14.27070283669391,"(904, 315)"
208,IL410,13.32233251879208,"(710, 318)"
209,IL410,11.389578002651529,"(902, 413)"
210,IL410,15.96523464827207,"(314, 414)"
211,IL410,15.287968285475273,"(516, 416)"
212,IL410,14.052609587584683,"(711, 416)"
213,IL410,16.77797096668003,"(119, 418)"
214,IL410,13.511105003242086,"(899, 505)"
215,IL410,16.716279424391473,"(120, 506)"
216,IL410,15.572199822401423,"(504, 506)"
217,IL410,16.372000817426297,"(312, 509)"
218,IL410,15.451441339367488,"(508, 604)"
219,IL410,17.11986151394371,"(116, 607)"
220,IL410,16.406926467836666,"(312, 607)"
221,IL410,13.932780004047078,"(896, 610)"
222,IL411,12.659859669888146,"(713, 478)"
223,IL411,10.540451399551895,"(878, 302)"
224,IL411,0.13420970903403173,"(316, 103)"
225,IL411,14.039409244111681,"(900, 103)"
226,IL411,18.777957843237086,"(118, 105)"
227,IL411,14.03268421139629,"(708, 107)"
228,IL411,15.628107096968428,"(515, 206)"
229,IL411,18.443828490003256,"(315, 207)"
230,IL411,18.629699136769425,"(119, 209)"
231,IL411,11.29295187188756,"(900, 210)"
232,IL411,0.28619314668793905,"(318, 319)"
233,IL411,15.433854950059661,"(519, 321)"
234,IL411,17.57417674870972,"(123, 322)"
235,IL411,13.133579733784348,"(712, 327)"
236,IL411,14.110407497830362,"(902, 412)"
237,IL411,13.793609662501222,"(516, 422)"
238,IL411,17.087609584530618,"(317, 423)"
239,IL411,18.35622756152463,"(122, 428)"
240,IL411,15.005474839926944,"(906, 511)"
241,IL411,16.843430480053005,"(508, 515)"
242,IL411,17.538355853187333,"(319, 518)"
243,IL411,16.84263446015251,"(124, 519)"
244,IL411,16.771191674082857,"(521, 610)"
245,IL411,19.16860460940624,"(128, 613)"
246,IL411,15.690594659157483,"(321, 614)"
247,IL411,15.377559833286838,"(907, 614)"
248,IL411,11.597858340749525,"(715, 620)"
249,IL412,17.119595978785096,"(898, 52)"
250,IL412,15.820426147246945,"(709, 57)"
251,IL412,17.3412075737408,"(121, 62)"
252,IL412,17.790760720154672,"(314, 167)"
253,IL412,14.51653186443328,"(895, 168)"
254,IL412,15.976432361945719,"(513, 172)"
255,IL412,19.414442312194474,"(122, 173)"
256,IL412,15.219616441547707,"(709, 173)"
257,IL412,17.318123904234273,"(514, 276)"
258,IL412,14.714939824632285,"(895, 276)"
259,IL412,5.434541814682037,"(126, 278)"
260,IL412,14.057825396771587,"(308, 280)"
261,IL412,15.673148779856167,"(705, 281)"
262,IL412,13.764094053488005,"(709, 368)"
263,IL412,18.14379554602532,"(123, 381)"
264,IL412,11.205774239406306,"(512, 381)"
265,IL412,14.751528689981033,"(902, 382)"
266,IL412,17.50512552035748,"(311, 386)"
267,IL412,16.562502013687013,"(311, 493)"
268,IL412,16.376830371895966,"(897, 494)"
269,IL412,17.52966619279149,"(512, 496)"
270,IL412,18.81424330721935,"(123, 501)"
271,IL412,16.554342809706913,"(708, 504)"
272,IL412,13.937029376871092,"(907, 603)"
273,IL412,15.733646292293976,"(313, 607)"
274,IL412,15.83513882960741,"(504, 607)"
275,IL412,18.05882042164721,"(707, 608)"
276,IL412,17.382402511199448,"(122, 612)"
277,IL413,12.856548742820346,"(900, 41)"
278,IL413,0.17397956780021273,"(710, 45)"
279,IL413,11.871551570296386,"(314, 46)"
280,IL413,12.279498317937186,"(124, 52)"
281,IL413,15.50247897202568,"(903, 146)"
282,IL413,17.448203316152856,"(125, 148)"
283,IL413,3.019255199592801,"(314, 148)"
284,IL413,13.770750109806686,"(514, 148)"
285,IL413,15.790292868391665,"(714, 150)"
286,IL413,14.31805865728161,"(709, 252)"
287,IL413,13.441155504028456,"(509, 257)"
288,IL413,17.200243117147885,"(124, 259)"
289,IL413,14.723029186799623,"(317, 261)"
290,IL413,16.144819933961124,"(903, 261)"
291,IL413,13.928402321127981,"(314, 366)"
292,IL413,12.022351390831506,"(511, 366)"
293,IL413,14.644422221625495,"(711, 368)"
294,IL413,13.431039036459532,"(908, 369)"
295,IL413,4.865543647986513,"(123, 371)"
296,IL413,10.544669124874568,"(712, 482)"
297,IL413,13.174519587556576,"(898, 482)"
298,IL413,11.267694948177882,"(514, 483)"
299,IL413,13.457357545008579,"(316, 485)"
300,IL413,15.38412371416281,"(124, 486)"
301,IL413,12.989894858441415,"(513, 596)"
302,IL413,12.594610633632447,"(900, 597)"
303,IL413,12.403647829256132,"(316, 599)"
304,IL413,13.872898042481305,"(710, 600)"
305,IL413,15.05735754500858,"(125, 602)"
306,IL416,14.641455925818626,"(897, 108)"
307,IL416,14.988796270643459,"(320, 109)"
308,IL416,15.8389455243748,"(127, 110)"
309,IL416,13.867005225867338,"(316, 208)"
310,IL416,13.207594559272128,"(901, 209)"
311,IL416,14.830189305469329,"(708, 210)"
312,IL416,15.559542539300175,"(125, 211)"
313,IL416,14.182858872058883,"(515, 213)"
314,IL416,14.779303891899726,"(313, 309)"
315,IL416,13.952258433199916,"(511, 310)"
316,IL416,15.213870897509128,"(714, 311)"
317,IL416,14.741924298366254,"(897, 311)"
318,IL416,14.957162045273492,"(124, 316)"
319,IL416,13.695661942285248,"(713, 419)"
320,IL416,15.48212960397679,"(316, 421)"
321,IL416,14.338917301923175,"(514, 421)"
322,IL416,17.30800025074296,"(121, 424)"
323,IL416,15.999144529349923,"(897, 424)"
324,IL416,15.538239606089011,"(904, 511)"
325,IL416,15.140789896762065,"(511, 513)"
326,IL416,16.120537564175795,"(315, 515)"
327,IL416,13.538220594662551,"(718, 517)"
328,IL416,16.962328608951914,"(124, 519)"
329,IL416,15.554567414922065,"(903, 614)"
330,IL416,17.22766363763018,"(126, 615)"
331,IL416,15.683158094081623,"(313, 617)"
332,IL416,14.434766419897187,"(706, 618)"
333,IL416,14.414865922384752,"(511, 627)"
334,IL417,14.257064279126386,"(896, 52)"
335,IL417,13.994520448177525,"(126, 54)"
336,IL417,15.15226786858356,"(711, 55)"
337,IL417,15.39228092943884,"(510, 154)"
338,IL417,15.9560620239662,"(310, 156)"
339,IL417,16.8123804319264,"(896, 156)"
340,IL417,17.044221227946302,"(126, 157)"
341,IL417,17.445216252821922,"(711, 158)"
342,IL417,15.795465009040829,"(506, 267)"
343,IL417,17.273076949339337,"(126, 270)"
344,IL417,16.70412172545874,"(713, 271)"
345,IL417,17.324221227946303,"(316, 273)"
346,IL417,14.751285904563218,"(900, 274)"
347,IL417,17.16926642394085,"(897, 380)"
348,IL417,18.512081924463715,"(127, 381)"
349,IL417,16.20362421302093,"(710, 381)"
350,IL417,16.752666105469515,"(510, 383)"
351,IL417,14.613375456802022,"(321, 385)"
352,IL417,16.786310780185108,"(898, 490)"
353,IL417,15.521435158294562,"(310, 494)"
354,IL417,16.043027198095555,"(515, 494)"
355,IL417,17.476261028941327,"(129, 497)"
356,IL417,17.23267893938909,"(715, 498)"
357,IL417,15.7250172478468,"(313, 606)"
358,IL417,17.240639138394062,"(709, 607)"
359,IL417,18.035863018991076,"(126, 609)"
360,IL417,17.646211277697546,"(898, 609)"
361,IL417,14.5805396359065,"(505, 610)"
362,IL418,7.278432009121557,"(710, 51)"
363,IL418,14.810862456417398,"(896, 52)"
364,IL418,17.33392800922176,"(123, 57)"
365,IL418,0.03950002243184514,"(312, 57)"
366,IL418,15.985812333821487,"(706, 153)"
367,IL418,17.391618897261502,"(124, 156)"
368,IL418,13.430941877235549,"(896, 156)"
369,IL418,15.099494334888183,"(313, 158)"
370,IL418,15.432439045100699,"(507, 158)"
371,IL418,9.394730948051969,"(313, 270)"
372,IL418,15.568335315171952,"(509, 270)"
373,IL418,0.004936310196826277,"(897, 271)"
374,IL418,14.475241049344577,"(709, 272)"
375,IL418,17.017688549002795,"(127, 275)"
376,IL418,16.024444696608715,"(125, 380)"
377,IL418,16.96453378444076,"(311, 382)"
378,IL418,17.272767455011564,"(512, 382)"
379,IL418,15.780919733189455,"(897, 384)"
380,IL418,4.687747960682264,"(710, 386)"
381,IL418,17.071817902236624,"(309, 494)"
382,IL418,13.49817232460259,"(707, 494)"
383,IL418,14.040478490732982,"(895, 494)"
384,IL418,18.020076608704287,"(125, 495)"
385,IL418,16.38006189284173,"(507, 495)"
386,IL418,19.699479593778914,"(123, 602)"
387,IL418,16.940076608704288,"(314, 602)"
388,IL418,4.596708548960473,"(513, 602)"
389,IL418,15.840705269984133,"(894, 603)"
390,IL418,14.630447014291326,"(704, 608)"
391,IL419,12.319599484691162,"(899, 53)"
392,IL419,14.967433975993869,"(122, 56)"
393,IL419,15.115250760239329,"(129, 165)"
394,IL419,3.2911948065028964,"(900, 165)"
395,IL419,12.484473553543,"(309, 169)"
396,IL419,11.877069856645608,"(510, 170)"
397,IL419,11.218764194998927,"(703, 170)"
398,IL419,10.293277805503898,"(307, 271)"
399,IL419,12.574266531153887,"(506, 271)"
400,IL419,14.137529492003564,"(123, 274)"
401,IL419,6.016296535447431,"(708, 274)"
402,IL419,11.66988472646291,"(894, 276)"
403,IL419,9.093023334267652,"(503, 381)"
404,IL419,15.43285287508814,"(120, 382)"
405,IL419,13.775277693670388,"(703, 383)"
406,IL419,11.718485228599194,"(894, 383)"
407,IL419,11.350265810411523,"(309, 384)"
408,IL419,12.521495846536629,"(897, 485)"
409,IL419,16.61553944225232,"(126, 493)"
410,IL419,13.23471571710916,"(509, 493)"
411,IL419,15.045390188520974,"(307, 496)"
412,IL419,13.043676847802383,"(711, 496)"
413,IL419,4.006837396448705,"(509, 601)"
414,IL419,13.0719717548994,"(709, 606)"
415,IL419,2.2413978185771617,"(305, 607)"
416,IL419,12.41056431787421,"(124, 608)"
417,IL419,10.491202785551783,"(899, 609)"
418,IL420,2.7733696393965293,"(311, 85)"
419,IL420,20.95985230684921,"(899, 88)"
420,IL420,18.713683152620355,"(122, 91)"
421,IL420,19.241444346650205,"(315, 181)"
422,IL420,21.287812505854188,"(713, 182)"
423,IL420,11.662229059449846,"(902, 182)"
424,IL420,19.31069807799349,"(517, 183)"
425,IL420,18.30074782923727,"(123, 185)"
426,IL420,18.394877182471102,"(120, 272)"
427,IL420,17.183560797886845,"(899, 273)"
428,IL420,18.57338464515767,"(312, 276)"
429,IL420,17.452787630232297,"(509, 276)"
430,IL420,18.013583650132794,"(705, 277)"
431,IL420,18.536568724759658,"(712, 377)"
432,IL420,17.309703053117868,"(900, 378)"
433,IL420,19.376767729734784,"(313, 379)"
434,IL420,17.294180665058168,"(513, 382)"
435,IL420,16.47885728197359,"(119, 385)"
436,IL420,17.46393190883926,"(898, 495)"
437,IL420,19.831295092918864,"(120, 496)"
438,IL420,19.234678177495976,"(510, 496)"
439,IL420,18.021344844162645,"(704, 498)"
440,IL420,18.16343439640145,"(310, 500)"
441,IL420,18.999056286948715,"(120, 609)"
442,IL420,18.292389620282048,"(504, 610)"
443,IL420,20.06253887401339,"(313, 611)"
444,IL420,19.398260267048215,"(709, 611)"
445,IL420,17.841842356600456,"(898, 612)"
446,IL421,14.93794501677461,"(707, 102)"
447,IL421,15.844401508202818,"(896, 104)"
448,IL421,3.0307932180556394,"(122, 105)"
449,IL421,13.566726863908368,"(510, 198)"
