acc,height0521,coordinates
IL401,0.5048352846044661,"(887, 80)"
IL401,1.5385579633455926,"(314, 92)"
IL401,2.6022395553853936,"(512, 93)"
IL401,1.4125878140918608,"(707, 94)"
IL401,2.13258781409186,"(129, 97)"
IL401,1.1978614459326566,"(892, 191)"
IL401,1.6527868190669857,"(710, 195)"
IL401,2.687413684738626,"(312, 196)"
IL401,1.601045525534646,"(518, 196)"
IL401,1.687559640209134,"(120, 201)"
IL401,1.6845009791582477,"(702, 286)"
IL401,1.4494549219132953,"(509, 295)"
IL401,0.6933838339923577,"(887, 297)"
IL401,1.908508212101811,"(123, 298)"
IL401,1.63487637130579,"(316, 302)"
IL401,1.7883092071266855,"(313, 398)"
IL401,1.3733838339923583,"(514, 399)"
IL401,1.738159953395343,"(713, 399)"
IL401,1.862737067823204,"(124, 401)"
IL401,1.3688544886870115,"(888, 503)"
IL401,2.8573639334948453,"(513, 509)"
IL401,1.602637565335641,"(713, 511)"
IL401,1.932786819066985,"(314, 512)"
IL401,1.5457221424500691,"(122, 513)"
IL401,1.1703688135531527,"(510, 619)"
IL401,2.556758457541949,"(715, 622)"
IL401,0.5456171627613573,"(886, 623)"
IL401,1.235672391206288,"(308, 626)"
IL401,1.855970898668975,"(125, 628)"
IL402,1.3323442515060746,"(895, 80)"
IL402,2.614936073273729,"(513, 81)"
IL402,3.158020650388157,"(315, 82)"
IL402,2.6095629389453725,"(118, 84)"
IL402,2.9218017449155207,"(716, 85)"
IL402,1.352448511084675,"(892, 186)"
IL402,2.44677686929363,"(513, 192)"
IL402,2.466080351880696,"(710, 193)"
IL402,2.3263788593433814,"(317, 196)"
IL402,1.602995774766268,"(125, 197)"
IL402,2.736368758573346,"(709, 295)"
IL402,1.9873639815032835,"(893, 295)"
IL402,1.9614037349652724,"(315, 299)"
IL402,2.4232489583803494,"(515, 299)"
IL402,1.4579211479005956,"(127, 302)"
IL402,2.190060451383183,"(514, 415)"
IL402,1.2061798543682576,"(120, 416)"
IL402,1.5568266205374115,"(891, 416)"
IL402,1.4284684115821875,"(313, 418)"
IL402,2.362164936917295,"(707, 422)"
IL402,1.6859808493931334,"(122, 519)"
IL402,1.56399079964189,"(318, 519)"
IL402,1.7817022424279587,"(514, 519)"
IL402,2.6603092076020878,"(703, 522)"
IL402,1.0615032374528344,"(890, 523)"
IL402,1.2903663607312357,"(890, 626)"
IL402,0.380309207602088,"(122, 627)"
IL402,2.4457963443790627,"(510, 627)"
IL402,0.2075728891941279,"(309, 629)"
IL402,1.771473689759827,"(704, 630)"
IL404,0.4294197282578009,"(886, 40)"
IL404,0.1352160518285394,"(490, 53)"
IL404,2.728937026745066,"(888, 140)"
IL404,0.6190862804764103,"(703, 150)"
IL404,2.407145981968948,"(896, 252)"
IL404,0.6397827978893451,"(704, 258)"
IL404,0.0061509570933253,"(312, 261)"
IL404,3.1476434944067586,"(718, 352)"
IL404,2.753883162209477,"(905, 356)"
IL404,0.5480415043570073,"(518, 364)"
IL404,2.5522206088346198,"(900, 474)"
IL404,2.9723201113221807,"(715, 479)"
IL404,0.2435213503499724,"(518, 480)"
IL404,0.9187877730137232,"(318, 483)"
IL404,0.7189867779888477,"(904, 593)"
IL404,0.91679772326248,"(723, 599)"
IL404,0.0254544396803897,"(320, 602)"
IL405,1.2122179489134304,"(916, 48)"
IL405,1.813884719276356,"(727, 53)"
IL405,0.0301410472279242,"(332, 61)"
IL405,1.679962734232863,"(917, 138)"
IL405,0.0262632893682512,"(333, 144)"
IL405,0.3761140356369079,"(538, 145)"
IL405,1.6561140356369082,"(728, 148)"
IL405,5.395018639798147,"(916, 241)"
IL405,2.683178712253824,"(732, 245)"
IL405,0.601984682403077,"(531, 247)"
IL405,1.9733279659851668,"(737, 359)"
IL405,0.8789996077762119,"(533, 364)"
IL405,3.788099227821327,"(920, 366)"
IL405,0.2879548316568083,"(340, 370)"
IL405,4.803978878091304,"(921, 480)"
IL405,0.9219846824030772,"(527, 485)"
IL405,2.0734274684727287,"(730, 486)"
IL405,4.042326285812782,"(917, 594)"
IL405,0.3641737371294455,"(532, 597)"
IL405,1.4869598067811864,"(729, 600)"
IL408,2.2084364089540047,"(720, 52)"
IL408,2.856120378671873,"(902, 53)"
IL408,1.0413488275920058,"(527, 55)"
IL408,1.9486827646587228,"(316, 57)"
IL408,3.34361181959615,"(904, 166)"
IL408,0.8017212723324683,"(321, 167)"
IL408,1.231613991568394,"(516, 167)"
IL408,0.0729650534269952,"(126, 169)"
IL408,2.3503779887503784,"(714, 170)"
IL408,3.039930227556349,"(711, 281)"
IL408,1.177094050163061,"(510, 284)"
IL408,2.34729549327795,"(315, 288)"
IL408,3.870576993725504,"(906, 288)"
