,acc,height,coordinates
0,IL401,18.960220846235107,"(887, 80)"
1,IL401,18.610333954499385,"(314, 92)"
2,IL401,20.921179725643665,"(512, 93)"
3,IL401,1.8851598251461503,"(707, 94)"
4,IL401,10.139515443057515,"(129, 97)"
5,IL401,19.92732962132654,"(892, 191)"
6,IL401,17.17690111867849,"(710, 195)"
7,IL401,11.215309078877496,"(312, 196)"
8,IL401,4.38466231270834,"(518, 196)"
9,IL401,15.044175030135598,"(120, 201)"
10,IL401,14.713219526638689,"(702, 286)"
11,IL401,18.561378730618788,"(509, 295)"
12,IL401,17.825062779510134,"(887, 297)"
13,IL401,14.292623996825071,"(123, 298)"
14,IL401,17.401776740569037,"(316, 302)"
15,IL401,17.97966462075573,"(888, 395)"
16,IL401,16.875408581365058,"(313, 398)"
17,IL401,19.266254352509335,"(514, 399)"
18,IL401,18.314413556489434,"(713, 399)"
19,IL401,14.133508603233736,"(124, 401)"
20,IL401,17.792611231745756,"(888, 503)"
21,IL401,19.73610509877799,"(513, 509)"
22,IL401,13.318393655991922,"(713, 511)"
23,IL401,18.207547884847642,"(314, 512)"
24,IL401,14.545877705762411,"(122, 513)"
25,IL401,14.809355094287806,"(715, 622)"
26,IL401,16.574453088228037,"(886, 623)"
27,IL401,13.422628515412654,"(125, 628)"
28,IL402,20.35954471381404,"(895, 80)"
29,IL402,25.64430490245754,"(513, 81)"
30,IL402,26.704006394994856,"(315, 82)"
31,IL402,22.91415684227863,"(118, 84)"
32,IL402,26.515946693502315,"(716, 85)"
33,IL402,21.346380331387657,"(892, 186)"
34,IL402,24.877140723353065,"(513, 192)"
35,IL402,7.725299927333163,"(710, 193)"
36,IL402,26.769280026835652,"(317, 196)"
37,IL402,21.596991916756927,"(125, 197)"
38,IL402,25.58042430544262,"(709, 295)"
39,IL402,23.330685510278556,"(893, 295)"
40,IL402,26.201518832805803,"(315, 299)"
41,IL402,26.054056146238636,"(515, 299)"
42,IL402,15.244619685342778,"(127, 302)"
43,IL402,24.213459131313265,"(514, 415)"
44,IL402,18.06401077318538,"(120, 416)"
45,IL402,22.879642860047532,"(891, 416)"
46,IL402,22.200324802955052,"(313, 418)"
47,IL402,25.130474056686396,"(707, 422)"
48,IL402,22.108864303778297,"(122, 519)"
49,IL402,22.580822315392865,"(318, 519)"
50,IL402,25.43634470345257,"(514, 519)"
51,IL402,26.742215350218736,"(703, 522)"
52,IL402,20.77810527676747,"(890, 523)"
53,IL402,18.175325229837803,"(890, 626)"
54,IL402,16.845451997172646,"(122, 627)"
55,IL402,22.447086751039997,"(704, 630)"
56,IL404,22.815927421505616,"(886, 40)"
57,IL404,22.09256535345941,"(295, 61)"
58,IL404,24.30207983369812,"(106, 66)"
59,IL404,22.174109504870255,"(888, 140)"
60,IL404,28.22206970387523,"(703, 150)"
61,IL404,27.051721445168763,"(503, 152)"
62,IL404,28.26565179342747,"(303, 156)"
63,IL404,0.7002786590991104,"(114, 162)"
64,IL404,24.92157219143742,"(896, 252)"
65,IL404,27.753213982482198,"(704, 258)"
66,IL404,27.769333385467267,"(312, 261)"
67,IL404,28.139681644173738,"(512, 267)"
68,IL404,25.727741345666278,"(121, 270)"
69,IL404,12.327940350641398,"(718, 352)"
70,IL404,21.718189106860304,"(905, 356)"
71,IL404,4.189631892929956,"(518, 364)"
72,IL404,27.13152244019364,"(324, 366)"
73,IL404,26.368935375517022,"(130, 369)"
74,IL404,21.658686619298116,"(900, 474)"
75,IL404,0.031192402484096604,"(715, 479)"
76,IL404,28.30664681830309,"(518, 480)"
77,IL404,25.98405975362647,"(318, 483)"
78,IL404,26.09430850984538,"(125, 484)"
79,IL404,26.679582141686172,"(521, 598)"
80,IL404,23.3189851267608,"(723, 599)"
81,IL404,16.4642587586016,"(320, 602)"
82,IL404,26.463263733725977,"(134, 607)"
83,IL405,26.566556130191945,"(916, 48)"
84,IL405,24.181627718085476,"(727, 53)"
85,IL405,24.812390508628933,"(135, 65)"
86,IL405,23.606848834724506,"(917, 138)"
87,IL405,9.446052814824007,"(333, 144)"
88,IL405,24.751724456615054,"(538, 145)"
89,IL405,22.958291620794157,"(728, 148)"
90,IL405,25.007047839699627,"(144, 150)"
91,IL405,23.57082893422699,"(916, 241)"
92,IL405,22.949383969559882,"(732, 245)"
93,IL405,24.348739381988185,"(531, 247)"
94,IL405,24.947346347162313,"(336, 252)"
95,IL405,25.83610256606779,"(142, 256)"
96,IL405,22.23152545163993,"(737, 359)"
97,IL405,25.906550327261815,"(533, 364)"
98,IL405,25.357694605868783,"(920, 366)"
99,IL405,24.26018216805784,"(140, 368)"
100,IL405,25.483863760097638,"(340, 370)"
101,IL405,20.482470725271767,"(921, 480)"
102,IL405,22.54655032726182,"(527, 485)"
103,IL405,23.07252047651555,"(730, 486)"
104,IL405,24.844062765072767,"(137, 487)"
105,IL405,26.625555302386193,"(336, 488)"
106,IL405,23.736799083480722,"(917, 594)"
107,IL405,23.476301571042914,"(532, 597)"
108,IL405,0.49122694417724144,"(729, 600)"
109,IL405,0.2104309242767437,"(139, 602)"
110,IL405,23.680082665570275,"(332, 604)"
111,IL407,26.21894447315382,"(913, 52)"
112,IL407,22.067660145340856,"(131, 59)"
113,IL407,20.94875595126964,"(516, 160)"
114,IL407,23.526268389080585,"(909, 161)"
115,IL407,24.116318140324367,"(320, 162)"
116,IL407,23.956716150274616,"(718, 167)"
117,IL407,21.417213662712427,"(127, 168)"
118,IL407,21.705372866692528,"(518, 270)"
119,IL407,6.12165979388302,"(909, 270)"
120,IL407,25.628954956244765,"(131, 271)"
121,IL407,24.679502219926356,"(324, 271)"
122,IL407,12.965074359229838,"(716, 272)"
123,IL407,23.21144251843382,"(521, 371)"
124,IL407,24.18915396121989,"(906, 372)"
125,IL407,25.654427593060685,"(313, 373)"
126,IL407,25.4178106776378,"(131, 375)"
127,IL407,25.369452468682574,"(711, 375)"
128,IL407,22.185173861717402,"(520, 482)"
129,IL407,23.647462418931333,"(718, 486)"
130,IL407,4.596211032551133,"(325, 487)"
131,IL407,24.302188787090536,"(127, 488)"
132,IL407,23.9378106776378,"(904, 490)"
133,IL407,22.441691274652726,"(714, 598)"
134,IL407,25.36009923485173,"(318, 600)"
135,IL407,23.86378082689153,"(909, 602)"
136,IL407,24.770447493558198,"(519, 603)"
137,IL407,22.225372866692528,"(125, 604)"
138,IL408,21.29863997754716,"(902, 53)"
139,IL408,2.7017846670467645,"(316, 57)"
140,IL408,22.8132523912019,"(133, 61)"
141,IL408,21.442728169680024,"(904, 166)"
142,IL408,17.90024060749097,"(321, 167)"
143,IL408,22.642529164704904,"(516, 167)"
144,IL408,22.217255532864108,"(126, 169)"
145,IL408,23.540638617441218,"(714, 170)"
146,IL408,19.469991851272063,"(711, 281)"
147,IL408,1.1501908562471899,"(510, 284)"
148,IL408,22.238151055252168,"(315, 288)"
149,IL408,20.471384886097937,"(906, 288)"
150,IL408,22.97924558261535,"(129, 293)"
151,IL408,18.57367344331187,"(125, 398)"
152,IL408,20.04670826918251,"(318, 400)"
153,IL408,18.221434637341716,"(510, 401)"
154,IL408,19.309195831371568,"(903, 404)"
155,IL408,15.594568965699926,"(708, 405)"
156,IL408,18.607305284107888,"(713, 510)"
157,IL408,19.18083762241634,"(514, 512)"
158,IL408,20.039146080127786,"(902, 512)"
159,IL408,20.503225682117836,"(314, 515)"
