,acc,height,coordinates
0,IL401,0.5048352846044661,"(887, 80)"
1,IL401,1.5385579633455926,"(314, 92)"
2,IL401,2.6022395553853936,"(512, 93)"
3,IL401,1.4125878140918608,"(707, 94)"
4,IL401,2.1325878140918597,"(129, 97)"
5,IL401,1.1978614459326566,"(892, 191)"
6,IL401,1.6527868190669857,"(710, 195)"
7,IL401,2.687413684738626,"(312, 196)"
8,IL401,1.601045525534646,"(518, 196)"
9,IL401,1.687559640209134,"(120, 201)"
10,IL401,1.6845009791582477,"(702, 286)"
11,IL401,1.4494549219132953,"(509, 295)"
12,IL401,0.6933838339923577,"(887, 297)"
13,IL401,1.908508212101811,"(123, 298)"
14,IL401,1.6348763713057899,"(316, 302)"
15,IL401,1.7883092071266855,"(313, 398)"
16,IL401,1.3733838339923583,"(514, 399)"
17,IL401,1.7381599533953427,"(713, 399)"
18,IL401,1.862737067823204,"(124, 401)"
19,IL401,1.3688544886870115,"(888, 503)"
20,IL401,2.8573639334948453,"(513, 509)"
21,IL401,1.602637565335641,"(713, 511)"
22,IL401,1.932786819066985,"(314, 512)"
23,IL401,1.5457221424500691,"(122, 513)"
24,IL401,1.1703688135531527,"(510, 619)"
25,IL401,2.5567584575419495,"(715, 622)"
26,IL401,0.5456171627613573,"(886, 623)"
27,IL401,1.235672391206288,"(308, 626)"
28,IL401,1.855970898668975,"(125, 628)"
29,IL402,1.3323442515060746,"(895, 80)"
30,IL402,2.6149360732737295,"(513, 81)"
31,IL402,3.158020650388157,"(315, 82)"
32,IL402,2.6095629389453725,"(118, 84)"
33,IL402,2.9218017449155207,"(716, 85)"
34,IL402,1.352448511084675,"(892, 186)"
35,IL402,2.44677686929363,"(513, 192)"
36,IL402,2.466080351880696,"(710, 193)"
37,IL402,2.3263788593433814,"(317, 196)"
38,IL402,1.602995774766268,"(125, 197)"
39,IL402,2.736368758573346,"(709, 295)"
40,IL402,1.9873639815032833,"(893, 295)"
41,IL402,1.9614037349652724,"(315, 299)"
42,IL402,2.4232489583803494,"(515, 299)"
43,IL402,1.4579211479005956,"(127, 302)"
44,IL402,2.190060451383183,"(514, 415)"
45,IL402,1.2061798543682576,"(120, 416)"
46,IL402,1.5568266205374117,"(891, 416)"
47,IL402,1.4284684115821875,"(313, 418)"
48,IL402,2.362164936917295,"(707, 422)"
49,IL402,1.6859808493931334,"(122, 519)"
50,IL402,1.56399079964189,"(318, 519)"
51,IL402,1.7817022424279587,"(514, 519)"
52,IL402,2.6603092076020873,"(703, 522)"
53,IL402,1.0615032374528344,"(890, 523)"
54,IL402,1.2903663607312357,"(890, 626)"
55,IL402,0.380309207602088,"(122, 627)"
56,IL402,2.4457963443790627,"(510, 627)"
57,IL402,0.20757288919412797,"(309, 629)"
58,IL402,1.7714736897598273,"(704, 630)"
59,IL404,0.42941972825780095,"(886, 40)"
60,IL404,0.13521605182853946,"(490, 53)"
61,IL404,2.728937026745066,"(888, 140)"
62,IL404,0.6190862804764103,"(703, 150)"
63,IL404,2.407145981968948,"(896, 252)"
64,IL404,0.6397827978893451,"(704, 258)"
65,IL404,0.00615095709332536,"(312, 261)"
66,IL404,3.1476434944067586,"(718, 352)"
67,IL404,2.753883162209477,"(905, 356)"
68,IL404,0.5480415043570073,"(518, 364)"
69,IL404,2.5522206088346193,"(900, 474)"
70,IL404,2.9723201113221807,"(715, 479)"
71,IL404,0.24352135034997247,"(518, 480)"
72,IL404,0.9187877730137233,"(318, 483)"
73,IL404,0.7189867779888477,"(904, 593)"
74,IL404,0.91679772326248,"(723, 599)"
75,IL404,0.02545443968038974,"(320, 602)"
76,IL405,1.2122179489134304,"(916, 48)"
77,IL405,1.8138847192763556,"(727, 53)"
78,IL405,0.03014104722792421,"(332, 61)"
79,IL405,1.6799627342328627,"(917, 138)"
80,IL405,0.026263289368251286,"(333, 144)"
81,IL405,0.37611403563690793,"(538, 145)"
82,IL405,1.6561140356369082,"(728, 148)"
83,IL405,5.395018639798147,"(916, 241)"
84,IL405,2.6831787122538238,"(732, 245)"
85,IL405,0.601984682403077,"(531, 247)"
86,IL405,1.9733279659851668,"(737, 359)"
87,IL405,0.8789996077762119,"(533, 364)"
88,IL405,3.788099227821327,"(920, 366)"
89,IL405,0.28795483165680835,"(340, 370)"
90,IL405,4.8039788780913035,"(921, 480)"
91,IL405,0.9219846824030773,"(527, 485)"
92,IL405,2.0734274684727287,"(730, 486)"
93,IL405,4.042326285812782,"(917, 594)"
94,IL405,0.36417373712944556,"(532, 597)"
95,IL405,1.4869598067811864,"(729, 600)"
96,IL407,0.2753332688096579,"(524, 52)"
97,IL407,1.8562021531308686,"(913, 52)"
98,IL407,0.019234474536671264,"(321, 55)"
99,IL407,2.0540843827555824,"(720, 56)"
100,IL407,1.7010419687119063,"(909, 161)"
101,IL407,1.1284322898335706,"(718, 167)"
102,IL407,0.7827604496327796,"(909, 270)"
103,IL407,0.12982532465944097,"(716, 272)"
104,IL407,1.6774461377912342,"(906, 372)"
105,IL407,0.7737402779693552,"(711, 375)"
106,IL407,0.39390932433060577,"(718, 486)"
107,IL407,1.0884322898335705,"(904, 490)"
108,IL407,0.31310890674899383,"(714, 598)"
109,IL407,1.2917791232555507,"(909, 602)"
110,IL408,2.2084364089540047,"(720, 52)"
111,IL408,2.856120378671873,"(902, 53)"
112,IL408,1.0413488275920058,"(527, 55)"
113,IL408,1.9486827646587228,"(316, 57)"
114,IL408,3.34361181959615,"(904, 166)"
115,IL408,0.8017212723324683,"(321, 167)"
116,IL408,1.231613991568394,"(516, 167)"
117,IL408,0.07296505342699522,"(126, 169)"
