acc,height0625,coordinates
IL402,9.903080636378768,"(513, 81)"
IL402,7.172928409591769,"(716, 85)"
IL402,8.997146857846747,"(710, 193)"
IL402,12.994244983514085,"(317, 196)"
IL402,13.573522074986297,"(125, 197)"
IL402,9.45426639045084,"(709, 295)"
IL402,32.69346780090217,"(514, 415)"
IL402,18.25247651816446,"(120, 416)"
IL402,27.47436332329023,"(313, 418)"
IL402,26.054462825777797,"(707, 422)"
IL402,18.499339988636063,"(122, 519)"
IL402,28.32212451732008,"(318, 519)"
IL402,30.55257227851411,"(514, 519)"
IL402,30.07476133324048,"(703, 522)"
IL402,14.14839079304297,"(122, 627)"
IL402,0.6931440821645252,"(510, 627)"
IL402,8.748082266567764,"(309, 629)"
IL402,23.86427703044115,"(704, 630)"
IL404,8.051658351832309,"(886, 40)"
IL404,5.357337364876968,"(691, 44)"
IL404,9.63615713966076,"(295, 61)"
IL404,9.984765285292902,"(888, 140)"
IL404,17.10148237649186,"(703, 150)"
IL404,2.8296075438207007,"(896, 252)"
IL404,2.949292461144048,"(704, 258)"
IL404,6.308708041402533,"(312, 261)"
IL404,17.640794610649454,"(121, 270)"
IL404,3.8479729229824047,"(718, 352)"
IL404,1.9425899976842256,"(905, 356)"
IL404,19.60413564307955,"(130, 369)"
IL404,10.000929994151218,"(715, 479)"
IL404,8.309429682585023,"(318, 483)"
IL404,22.148081188964227,"(125, 484)"
IL404,1.8466587055391548,"(320, 602)"
IL404,16.922897027414706,"(134, 607)"
IL405,5.730378858118706,"(727, 53)"
IL405,1.314287019199024,"(534, 54)"
IL405,26.1000670592705,"(135, 65)"
IL405,11.324796679932328,"(333, 144)"
IL405,24.143240660931053,"(538, 145)"
IL405,14.48738289521517,"(728, 148)"
IL405,14.677958584694233,"(732, 245)"
IL405,30.22677251504249,"(531, 247)"
IL405,24.14718881962784,"(336, 252)"
IL405,24.29305194526624,"(142, 256)"
IL405,8.797819454259447,"(737, 359)"
IL405,21.589476025354703,"(140, 368)"
IL405,4.581033994530297,"(340, 370)"
IL405,15.785292850428498,"(137, 487)"
IL405,4.946264646455574,"(729, 600)"
IL407,5.650088202849292,"(321, 55)"
IL407,22.471786066096097,"(131, 59)"
IL407,20.53025468702985,"(909, 161)"
IL407,11.1243277906174,"(718, 167)"
IL407,62.821795988262224,"(131, 271)"
IL407,56.1699303676299,"(324, 271)"
IL407,13.309977667278016,"(521, 371)"
IL407,27.374429086158468,"(313, 373)"
IL407,67.14567989761494,"(131, 375)"
IL407,6.946942337483605,"(718, 486)"
IL407,8.476665699933733,"(325, 487)"
IL407,20.62230651819698,"(904, 490)"
