,acc,height,coordinates
0,IL401,2.726095310114342,"(887, 80)"
1,IL401,5.05553472523234,"(314, 92)"
2,IL401,5.756430247620402,"(512, 93)"
3,IL401,3.912649153093037,"(707, 94)"
4,IL401,5.821106864535823,"(129, 97)"
5,IL401,4.341050496027227,"(892, 191)"
6,IL401,4.4999128346850785,"(710, 195)"
7,IL401,6.185086964038311,"(312, 196)"
8,IL401,4.259713829709954,"(518, 196)"
9,IL401,5.8002113421477635,"(120, 201)"
10,IL401,4.9880720386651785,"(702, 286)"
11,IL401,4.617325770008462,"(509, 295)"
12,IL401,3.325811476034904,"(887, 297)"
13,IL401,6.064290944137815,"(123, 298)"
14,IL401,5.692549650605477,"(316, 302)"
15,IL401,2.520209695777753,"(888, 395)"
16,IL401,5.439614327222392,"(313, 398)"
17,IL401,4.876629252595526,"(514, 399)"
18,IL401,4.424887959063186,"(713, 399)"
19,IL401,6.4352362177696545,"(124, 401)"
20,IL401,3.9099770825714995,"(888, 503)"
21,IL401,6.691156615779606,"(513, 509)"
22,IL401,5.259713829709954,"(713, 511)"
23,IL401,5.723793431700004,"(314, 512)"
24,IL401,5.399017312297017,"(122, 513)"
25,IL401,3.619116814784581,"(510, 619)"
26,IL401,5.2952867612306935,"(715, 622)"
27,IL401,3.766129740211321,"(886, 623)"
28,IL401,4.369763580953736,"(308, 626)"
29,IL401,5.707674028714928,"(125, 628)"
30,IL402,3.866195591579997,"(895, 80)"
31,IL402,5.03305479735617,"(513, 81)"
32,IL402,6.536338379445722,"(315, 82)"
33,IL402,6.075046829228681,"(118, 84)"
34,IL402,5.537532409296469,"(716, 85)"
35,IL402,3.7695197464274717,"(892, 186)"
36,IL402,5.236835891883535,"(513, 192)"
37,IL402,4.571761265017864,"(710, 193)"
38,IL402,5.408378180440748,"(317, 196)"
39,IL402,4.555044847107416,"(125, 197)"
40,IL402,5.271462757555176,"(709, 295)"
41,IL402,5.149817617868992,"(893, 295)"
42,IL402,5.601014996361146,"(315, 299)"
43,IL402,5.447582160540252,"(515, 299)"
44,IL402,4.614945344619853,"(127, 302)"
45,IL402,4.357233901833782,"(514, 415)"
46,IL402,4.432457782430797,"(120, 416)"
47,IL402,4.345447925602274,"(891, 416)"
48,IL402,3.5442985784506984,"(313, 418)"
49,IL402,4.972756289893484,"(707, 422)"
50,IL402,5.156136007547255,"(122, 519)"
51,IL402,4.410567235167116,"(318, 519)"
52,IL402,4.151462757555175,"(514, 519)"
53,IL402,4.9285771854158735,"(703, 522)"
54,IL402,3.313193205660669,"(890, 523)"
55,IL402,3.382745779067333,"(890, 626)"
56,IL402,2.909074697853683,"(122, 627)"
57,IL402,4.635641862032786,"(510, 627)"
58,IL402,2.61395031974423,"(309, 629)"
59,IL402,4.222485228601085,"(704, 630)"
60,IL404,3.4705135541825705,"(886, 40)"
61,IL404,5.726227189160669,"(691, 44)"
62,IL404,4.676874651988419,"(490, 53)"
63,IL404,5.859591314784938,"(295, 61)"
64,IL404,6.284749347735099,"(106, 66)"
65,IL404,5.542637053585176,"(888, 140)"
66,IL404,6.1354728744806994,"(703, 150)"
67,IL404,7.514378347117516,"(503, 152)"
68,IL404,7.920746506321494,"(303, 156)"
69,IL404,6.803532575973238,"(114, 162)"
70,IL404,5.313781332192141,"(896, 252)"
71,IL404,6.7227365560727375,"(704, 258)"
72,IL404,8.017263919256818,"(312, 261)"
73,IL404,6.641343521246869,"(512, 267)"
74,IL404,7.4608460088090585,"(121, 270)"
75,IL404,0.782438048610052,"(718, 352)"
76,IL404,4.218855959057814,"(905, 356)"
77,IL404,6.69149277497821,"(518, 364)"
78,IL404,6.430199242639903,"(324, 366)"
79,IL404,6.313980337167267,"(130, 369)"
80,IL404,4.802139541147364,"(900, 474)"
81,IL404,7.155174367018011,"(715, 479)"
82,IL404,7.154776357067762,"(518, 480)"
83,IL404,8.352786307316519,"(318, 483)"
84,IL404,8.999950486420998,"(125, 484)"
85,IL404,3.5040300884110476,"(904, 593)"
86,IL404,5.551791282440897,"(521, 598)"
87,IL404,5.732487799853834,"(723, 599)"
88,IL404,3.7673136705005987,"(320, 602)"
89,IL404,8.168507700351347,"(134, 607)"
90,IL405,5.835916055183787,"(916, 48)"
91,IL405,5.6846120419546615,"(727, 53)"
92,IL405,5.349802395883906,"(534, 54)"
93,IL405,7.684664760928975,"(332, 61)"
94,IL405,8.36041930751194,"(135, 65)"
95,IL405,5.6127526957794345,"(917, 138)"
96,IL405,2.356832297769486,"(333, 144)"
97,IL405,6.449767621152571,"(538, 145)"
98,IL405,5.587479063938641,"(728, 148)"
99,IL405,9.033449213192373,"(144, 150)"
