,acc,height,coordinates
0,IL401,10.728042807126059,"(887, 80)"
1,IL401,12.931503727213556,"(314, 92)"
2,IL401,15.127125617760818,"(512, 93)"
3,IL401,8.248916662536939,"(707, 94)"
4,IL401,14.62424004562152,"(129, 97)"
5,IL401,12.25390849040123,"(892, 191)"
6,IL401,11.84254850333296,"(710, 195)"
7,IL401,13.932896762039427,"(312, 196)"
8,IL401,12.391006214775746,"(518, 196)"
9,IL401,14.489900398316642,"(120, 201)"
10,IL401,13.029016165024501,"(702, 286)"
11,IL401,13.154510270928103,"(509, 295)"
12,IL401,11.174201963872697,"(887, 297)"
13,IL401,13.719762433681218,"(123, 298)"
14,IL401,14.10384203567127,"(316, 302)"
15,IL401,11.263904048719237,"(888, 395)"
16,IL401,13.545633080447388,"(313, 398)"
17,IL401,13.19120521975087,"(514, 399)"
18,IL401,12.323344523233455,"(713, 399)"
19,IL401,14.154389299352857,"(124, 401)"
20,IL401,10.920235143446178,"(888, 503)"
21,IL401,14.78742412522351,"(513, 509)"
22,IL401,11.277772383929975,"(713, 511)"
23,IL401,13.846528602835448,"(314, 512)"
24,IL401,13.415483826716045,"(122, 513)"
25,IL401,11.818269896367784,"(510, 619)"
26,IL401,13.045929083952927,"(715, 622)"
27,IL401,11.377622614169866,"(886, 623)"
28,IL401,12.875185319253358,"(308, 626)"
29,IL401,14.387424125223504,"(125, 628)"
30,IL402,12.62326153402255,"(895, 80)"
31,IL402,15.802803616749902,"(513, 81)"
32,IL402,17.005390681426523,"(315, 82)"
33,IL402,15.866087198839455,"(118, 84)"
34,IL402,15.622704114262344,"(716, 85)"
35,IL402,13.759586848605068,"(892, 186)"
36,IL402,15.21932102968523,"(513, 192)"
37,IL402,14.609569785904132,"(710, 193)"
38,IL402,15.403997646600647,"(317, 196)"
39,IL402,14.563798641625528,"(125, 197)"
40,IL402,15.081211576948906,"(709, 295)"
41,IL402,13.636454891625526,"(893, 295)"
42,IL402,15.702704114262342,"(315, 299)"
43,IL402,16.394047397844428,"(515, 299)"
44,IL402,11.691360830680253,"(127, 302)"
45,IL402,13.87524142769518,"(514, 415)"
46,IL402,12.555838442620551,"(120, 416)"
47,IL402,12.321524794388637,"(891, 416)"
48,IL402,14.000017547098164,"(313, 418)"
49,IL402,15.045589686401645,"(707, 422)"
50,IL402,16.001808591874283,"(122, 519)"
51,IL402,13.75802749734692,"(318, 519)"
52,IL402,14.039022522222542,"(514, 519)"
53,IL402,15.046584711277266,"(703, 522)"
54,IL402,12.559458044793463,"(890, 523)"
55,IL402,11.463657398687673,"(890, 626)"
56,IL402,13.414743915257368,"(122, 627)"
57,IL402,14.973748890381746,"(510, 627)"
58,IL402,12.547480233665325,"(309, 629)"
59,IL402,12.991836408456397,"(704, 630)"
60,IL404,14.01173142731924,"(886, 40)"
61,IL404,15.880466972513048,"(691, 44)"
62,IL404,12.849782323087318,"(490, 53)"
63,IL404,11.718583796219278,"(295, 61)"
64,IL404,11.83160542897695,"(106, 66)"
65,IL404,14.317554306543528,"(888, 140)"
66,IL404,15.708997092613181,"(703, 150)"
67,IL404,16.175066744354474,"(503, 152)"
68,IL404,16.19576326176741,"(303, 156)"
69,IL404,2.1489349530676556,"(114, 162)"
70,IL404,13.477866123256145,"(896, 252)"
71,IL404,16.80650953042413,"(704, 258)"
72,IL404,17.329892615001242,"(312, 261)"
73,IL404,16.249295600075868,"(512, 267)"
74,IL404,16.956360276692784,"(121, 270)"
75,IL404,3.357753311518657,"(718, 352)"
76,IL404,9.05944485380721,"(905, 356)"
77,IL404,15.745813013011194,"(518, 364)"
78,IL404,17.407504555299752,"(324, 366)"
79,IL404,17.387803062762437,"(130, 369)"
80,IL404,8.819842863757462,"(900, 474)"
81,IL404,10.785016993110695,"(715, 479)"
82,IL404,16.13984286375746,"(518, 480)"
83,IL404,16.6960617692301,"(318, 483)"
84,IL404,17.823623958284827,"(125, 484)"
85,IL404,10.035365251817161,"(904, 593)"
86,IL404,15.946211022961442,"(521, 598)"
87,IL404,15.387206047837061,"(723, 599)"
88,IL404,6.918748336394277,"(320, 602)"
89,IL404,19.224419978185324,"(134, 607)"
90,IL405,13.023030163110146,"(916, 48)"
91,IL405,12.809502356128462,"(727, 53)"
92,IL405,13.491769454797591,"(534, 54)"
93,IL405,16.4157485662372,"(332, 61)"
94,IL405,17.611379337581425,"(135, 65)"
95,IL405,12.977076131829577,"(917, 138)"
96,IL405,4.925135833322116,"(333, 144)"
97,IL405,16.58185225123256,"(538, 145)"
98,IL405,14.233792549740027,"(728, 148)"
99,IL405,20.114588569640524,"(144, 150)"
100,IL405,12.625191160904787,"(916, 241)"
101,IL405,12.433792549740026,"(732, 245)"
102,IL405,16.089115932824605,"(531, 247)"
103,IL405,17.13488707710321,"(336, 252)"
104,IL405,17.80712588307336,"(142, 256)"
105,IL405,12.801752748745002,"(737, 359)"
106,IL405,15.787424390536046,"(533, 364)"
107,IL405,11.843145783570872,"(920, 366)"
108,IL405,17.576081106953957,"(140, 368)"
109,IL405,18.413693047252465,"(340, 370)"
110,IL405,9.750216046431365,"(921, 480)"
111,IL405,13.992598519889281,"(527, 485)"
112,IL405,14.015086082078334,"(730, 486)"
113,IL405,18.825434340784803,"(137, 487)"
114,IL405,18.694688072128088,"(336, 488)"
115,IL405,10.190608470138034,"(917, 594)"
116,IL405,15.863245286058437,"(532, 597)"
117,IL405,14.191404490038533,"(729, 600)"
118,IL405,2.2146880721280873,"(139, 602)"
119,IL405,17.911205485063412,"(332, 604)"
120,IL407,10.753699544962089,"(524, 52)"
121,IL407,9.69738407277682,"(913, 52)"
122,IL407,11.556050908135749,"(321, 55)"
123,IL407,11.13902911319325,"(720, 56)"
124,IL407,13.502543092919893,"(131, 59)"
125,IL407,10.099574527674374,"(516, 160)"
126,IL407,7.469403210692402,"(909, 161)"
127,IL407,13.58275860727636,"(320, 162)"
128,IL407,12.450221293843526,"(718, 167)"
129,IL407,11.860948335923961,"(127, 168)"
130,IL407,11.962460099813676,"(518, 270)"
131,IL407,10.625798042497152,"(909, 270)"
132,IL407,13.978977512749001,"(131, 271)"
133,IL407,14.136191443097257,"(324, 271)"
134,IL407,3.7154949256843217,"(716, 272)"
135,IL407,13.142559602301237,"(521, 371)"
136,IL407,10.31350487593308,"(906, 372)"
137,IL407,14.046042189365913,"(313, 373)"
138,IL407,15.360271045087309,"(131, 375)"
139,IL407,11.7626591047888,"(711, 375)"
140,IL407,10.546539701803727,"(520, 482)"
141,IL407,11.741166567475368,"(718, 486)"
142,IL407,2.53579343314701,"(325, 487)"
143,IL407,15.364450149564917,"(127, 488)"
144,IL407,8.281266069962928,"(904, 490)"
145,IL407,9.778380497823626,"(714, 598)"
146,IL407,13.426539701803726,"(318, 600)"
147,IL407,6.944877226542943,"(909, 602)"
148,IL407,12.374599403296262,"(519, 603)"
149,IL407,12.453206368470394,"(125, 604)"
150,IL408,10.686497836256763,"(720, 52)"
151,IL408,9.018912434625918,"(902, 53)"
152,IL408,11.735750758830761,"(527, 55)"
153,IL408,13.60228670534514,"(316, 57)"
154,IL408,12.18133442877632,"(133, 61)"
155,IL408,6.6898909336628165,"(904, 166)"
156,IL408,12.421632227195154,"(321, 167)"
157,IL408,13.611084963513562,"(516, 167)"
158,IL408,11.788995411274755,"(126, 169)"
159,IL408,11.917552625205104,"(714, 170)"
160,IL408,9.359940684906597,"(711, 281)"
161,IL408,10.112577500826994,"(510, 284)"
162,IL408,12.951184466001123,"(315, 288)"
163,IL408,7.2770024792595365,"(906, 288)"
164,IL408,13.757950635155353,"(129, 293)"
165,IL408,10.546607351573265,"(125, 398)"
166,IL408,11.590587451075752,"(318, 400)"
167,IL408,9.087502873961324,"(510, 401)"
168,IL408,5.907153367015763,"(903, 404)"
169,IL408,13.315363570478734,"(708, 405)"
170,IL408,9.991184466001123,"(713, 510)"
171,IL408,11.136259092866794,"(514, 512)"
172,IL408,5.920338694856845,"(902, 512)"
173,IL408,12.4946670530658,"(314, 515)"
174,IL408,10.266607351573263,"(122, 516)"
175,IL408,7.542826257045899,"(903, 611)"
176,IL408,11.820637202319531,"(123, 613)"
177,IL408,11.782826257045901,"(515, 614)"
178,IL408,13.417055112767294,"(318, 616)"
179,IL408,10.31277650580212,"(706, 618)"
180,IL409,6.850656191299624,"(908, 48)"
181,IL409,12.889968678922973,"(518, 50)"
182,IL409,11.588804085067295,"(715, 52)"
183,IL409,14.63724727173042,"(321, 54)"
184,IL409,13.43460326303667,"(125, 56)"
185,IL409,15.544644315196269,"(126, 156)"
186,IL409,9.554992573902737,"(707, 158)"
187,IL409,6.8711860795832465,"(904, 158)"
188,IL409,13.536883121166419,"(321, 159)"
189,IL409,11.379669190818163,"(515, 159)"
190,IL409,10.369718942061944,"(523, 270)"
191,IL409,7.433948154849677,"(905, 272)"
192,IL409,12.218475160967415,"(318, 273)"
193,IL409,14.872405509226123,"(127, 274)"
194,IL409,8.92454481270871,"(720, 274)"
195,IL409,12.950415459474879,"(319, 384)"
196,IL409,13.238375658479853,"(517, 387)"
197,IL409,14.19240550922612,"(129, 388)"
198,IL409,10.943848295295773,"(709, 388)"
199,IL409,5.771792848009909,"(907, 389)"
200,IL409,11.422057250519654,"(715, 492)"
201,IL409,13.624047300270899,"(319, 493)"
202,IL409,12.540863220668907,"(521, 495)"
203,IL409,12.305440335096769,"(125, 496)"
204,IL409,5.417321074767589,"(909, 497)"
205,IL409,14.125738842559453,"(125, 605)"
206,IL409,11.422853270420152,"(516, 606)"
207,IL409,11.45867416594254,"(712, 606)"
208,IL409,14.850315956987313,"(318, 608)"
209,IL410,6.039613262347132,"(705, 545)"
210,IL410,11.556989212858785,"(313, 83)"
211,IL410,10.98723796907769,"(509, 85)"
212,IL410,12.947834984003062,"(124, 89)"
