,acc,height,coordinates
0,IL401,4.8591977951458665,"(129, 97)"
1,IL401,8.957113891505024,"(120, 201)"
2,IL401,8.014613691497022,"(702, 286)"
3,IL401,8.256552391601417,"(123, 298)"
4,IL401,9.573859090493158,"(313, 398)"
5,IL401,13.457287064103568,"(514, 399)"
6,IL401,8.043139014277429,"(713, 399)"
7,IL401,10.32752187137562,"(124, 401)"
8,IL401,12.249905339187773,"(513, 509)"
9,IL401,5.859411971697527,"(713, 511)"
10,IL401,10.138541256062997,"(314, 512)"
11,IL401,10.265665173556304,"(122, 513)"
12,IL401,4.446521944389638,"(715, 622)"
13,IL401,1.187819019710151,"(308, 626)"
14,IL401,8.56295239737955,"(125, 628)"
15,IL402,4.431832568187955,"(513, 81)"
16,IL402,2.1433017089705295,"(716, 85)"
17,IL402,3.987703346455209,"(710, 193)"
18,IL402,5.267859911937956,"(317, 196)"
19,IL402,15.526307864903385,"(125, 197)"
20,IL402,17.076799107959545,"(709, 295)"
21,IL402,23.56948430948149,"(315, 299)"
22,IL402,25.36809127465562,"(515, 299)"
23,IL402,1.4221278109540183,"(127, 302)"
24,IL402,26.760529085600886,"(514, 415)"
25,IL402,16.714225504170294,"(120, 416)"
26,IL402,22.924907195053628,"(313, 418)"
27,IL402,24.29067833933223,"(707, 422)"
28,IL402,18.167672797798097,"(122, 519)"
29,IL402,26.173265404008852,"(318, 519)"
30,IL402,27.400728090576017,"(514, 519)"
31,IL402,27.666026835703875,"(703, 522)"
32,IL402,13.389977355832743,"(122, 627)"
33,IL402,4.470879631303607,"(309, 629)"
34,IL402,20.23970956695794,"(704, 630)"
35,IL404,29.634488194969272,"(886, 40)"
36,IL404,3.7181679906855045,"(490, 53)"
37,IL404,23.008785834313898,"(295, 61)"
38,IL404,29.822271932055912,"(106, 66)"
39,IL404,27.938362244343544,"(888, 140)"
40,IL404,33.14837617307453,"(703, 150)"
41,IL404,33.62618711834816,"(503, 152)"
42,IL404,4.471845264581743,"(303, 156)"
43,IL404,0.023857795797917802,"(114, 162)"
44,IL404,26.9443551821388,"(896, 252)"
45,IL404,35.75991846163174,"(312, 261)"
46,IL404,34.73993689999907,"(121, 270)"
47,IL404,17.90419706859692,"(718, 352)"
48,IL404,24.600595217529253,"(905, 356)"
49,IL404,3.109172192975029,"(324, 366)"
50,IL404,34.988733988370775,"(130, 369)"
51,IL404,22.122565375513833,"(900, 474)"
52,IL404,2.015543824349561,"(715, 479)"
53,IL404,4.409470700437716,"(518, 480)"
54,IL404,2.254358708118887,"(318, 483)"
55,IL404,37.12572724359502,"(125, 484)"
56,IL404,0.37850195866695024,"(723, 599)"
57,IL404,1.208695390385107,"(320, 602)"
58,IL404,36.51962741520495,"(134, 607)"
59,IL405,13.129565053483232,"(916, 48)"
60,IL405,5.683547677776664,"(727, 53)"
61,IL405,0.9379871725989393,"(332, 61)"
62,IL405,37.72431984134094,"(135, 65)"
63,IL405,23.544515714542577,"(333, 144)"
64,IL405,30.860933624990338,"(538, 145)"
65,IL405,28.19386894837342,"(728, 148)"
66,IL405,1.9466702153504327,"(144, 150)"
67,IL405,18.651102208637347,"(916, 241)"
68,IL405,29.263719694642077,"(732, 245)"
69,IL405,35.970187356333625,"(531, 247)"
70,IL405,38.011978401109744,"(336, 252)"
71,IL405,38.07633824785901,"(142, 256)"
72,IL405,26.818545565288844,"(737, 359)"
73,IL405,36.01456546578636,"(533, 364)"
74,IL405,18.363888859268265,"(920, 366)"
75,IL405,36.20347883456952,"(140, 368)"
76,IL405,40.79645601305004,"(340, 370)"
77,IL405,13.556776943608513,"(921, 480)"
78,IL405,1.6326678791110725,"(730, 486)"
79,IL405,35.3349218587266,"(137, 487)"
80,IL405,17.623837350068143,"(917, 594)"
81,IL405,2.0909556896367274,"(729, 600)"
82,IL405,0.13291517482776793,"(332, 604)"
83,IL407,2.5035084188059686,"(321, 55)"
84,IL407,38.037002426471524,"(131, 59)"
85,IL407,46.163494429973326,"(516, 160)"
86,IL407,32.58887393051039,"(909, 161)"
87,IL407,55.817623783207154,"(320, 162)"
88,IL407,3.9628906935288892,"(718, 167)"
89,IL407,35.61563458663908,"(127, 168)"
90,IL407,0.33511324960541966,"(518, 270)"
91,IL407,54.9063925967027,"(131, 271)"
92,IL407,59.06538497723701,"(324, 271)"
93,IL407,4.370567312980967,"(716, 272)"
94,IL407,30.465722937119125,"(521, 371)"
95,IL407,1.0651844531399348,"(906, 372)"
96,IL407,42.80906656927681,"(313, 373)"
97,IL407,56.52029111352268,"(131, 375)"
98,IL407,60.62200189265989,"(711, 375)"
99,IL407,1.818658021282408,"(718, 486)"
100,IL407,18.587972041913623,"(325, 487)"
101,IL407,2.416018218796201,"(127, 488)"
102,IL407,34.694933545869254,"(904, 490)"
103,IL407,1.6847737703867196,"(318, 600)"
104,IL407,43.62039198040348,"(125, 604)"
105,IL408,10.07755879520652,"(720, 52)"
106,IL408,28.63550903466423,"(902, 53)"
107,IL408,4.613471167753089,"(316, 57)"
108,IL408,33.38698118517315,"(133, 61)"
109,IL408,22.340404218523553,"(904, 166)"
110,IL408,2.4299900069694704,"(321, 167)"
111,IL408,35.40206745594694,"(516, 167)"
112,IL408,36.209931338684314,"(126, 169)"
113,IL408,34.48306248082256,"(714, 170)"
114,IL408,31.628137107688232,"(711, 281)"
115,IL408,33.62634606291211,"(315, 288)"
116,IL408,24.363846027600573,"(906, 288)"
117,IL408,34.97609850551836,"(129, 293)"
118,IL408,30.355644360779756,"(125, 398)"
119,IL408,32.359480391270324,"(318, 400)"
120,IL408,31.310525167389727,"(510, 401)"
121,IL408,24.67127180220095,"(903, 404)"
122,IL408,2.6017099379254187,"(708, 405)"
123,IL408,0.9329616698802825,"(713, 510)"
124,IL408,26.985999589695563,"(902, 512)"
