ID	meanPSRI	meanCRI550	meanMCARI	meanARI
IL401	0.04725736037049472	0.0014916645496035432	1644.8423161545422	0.0004497018256667392
IL402	0.005457811907939224	0.001591977690761266	2340.3165168133487	0.0001418435638573836
IL404	0.006329711968624934	0.00152541311593257	2389.3210786143222	-3.5184258349392913e-06
IL405	0.0054415465617417905	0.0018125554705283279	2475.3527372409158	-5.2669284947129816e-05
IL407	0.0062112086922186255	0.0015634907168048018	1926.7113034464198	3.312984749462879e-05
IL408	0.013563129700723021	0.0016257871379490555	2041.439567112387	4.565060017962212e-05
IL409	0.02109306172849778	0.0015844430494721786	1755.9383677325231	0.00014050044634962558
IL410	0.061620185683529186	0.0019747122443871026	2319.2692260212534	0.0007765730888771703
IL411	0.03263473140962636	0.0019430352716736303	2109.5431769642864	0.00016133279677326133
IL412	0.010087928680498551	0.001806242722338306	2485.6792558624406	-6.223071289448475e-06
IL413	0.03661750547881575	0.0020708941050175903	2785.318923210623	0.00011657991081351197
IL416	0.03234272101148641	0.0016912915149845274	1866.0602127877457	0.00017470113093981672
IL417	0.0003144556551834262	0.0017399658775766865	2570.375545273692	-9.77130707861073e-05
IL418	0.05094277610022186	0.0017996434694664842	2099.701274123886	0.00018823495645675162
IL419	0.06665700893653044	0.0009018496219019139	708.9648765914768	0.00034743915434095625
IL420	0.007923873027121116	0.0015777994933156795	2390.953508678118	-2.023110166859357e-05
IL421	0.02616882805426994	0.0018415510707275118	2399.720346837257	9.565039115261076e-05
IL422	0.056649817442885254	0.001457537690130151	1790.9875423215765	0.00024304880610439463
IL423	0.029678545296315577	0.0016569641495787592	1975.9086079128085	5.25339113129984e-05
IL424	0.023326680595140876	0.0015991720220422158	2274.014334459165	1.8320150497980866e-05
IL425	0.04036213345311807	0.0013678950633181498	1053.1212122370107	0.000152257051841266
IL426	-0.004852123389590483	0.001718999646002973	2504.1048765866253	-0.00012706106809264525
IL427	0.05141486766738306	0.0016618337132045349	1938.0928079090434	0.0001555218538527349
IL428	0.025980812889309333	0.0017742258493940255	2167.0640283021253	3.167182281872044e-05
IL430	-0.0006182206255976592	0.002386107428519287	4071.613538202415	0.0011346608093658673
IL431	0.08816995527211614	0.0012130448260850447	907.1274468651137	0.0004827577864290028
IL432	0.008530164768972935	0.0017014782642702918	2793.0426774744055	-6.534419298416091e-05
IL433	-0.00917649947575787	0.0022387072335076116	3099.0641399683077	-0.00015268562062737147
IL434	0.005411529997337033	0.002220937765734541	3295.5124955037736	-0.00013441177919087466
IL435	0.041683380719586126	0.0018990063995122462	2463.297226918192	0.00014482245760009778
IL436	0.040579481505915345	0.0014916765136563312	1598.7553765883983	0.0002112356564609411
IL439	0.020244244359774066	0.002023035672399015	2413.078864670757	5.475402039559603e-05
IL440	0.024386509911813094	0.001476710494384166	1951.6262506547666	0.0001151373098814023
IL442	-0.0003504751838495415	0.0018402532725474109	2372.659748392544	-9.017531012358577e-05
IL445	0.0671895269432719	0.0013169145278577727	1446.1539862549328	0.0002698230271189814
IL446	0.025235664684244697	0.0016867247150714705	2268.5312926122388	1.219257450091467e-05
IL448	0.014276999792704415	0.0017446771679470098	2553.9202643879107	-7.436402522203042e-05
IL450	0.016707426870092277	0.0018234041334337428	3170.810192891913	-7.09140756007492e-05
IL451	0.012209383886164472	0.0015986851336459475	2989.953996007117	8.413592142663779e-06
IL452	0.04351876998949733	0.0015957445004610737	1717.1351611060475	0.0001327507240866896
IL453	0.026667446709454635	0.0019786193348966035	2390.853868928016	-4.457718124123146e-05
IL454	0.015077078205279934	0.002144814839266855	2994.473212071889	-5.887944424479181e-05
IL455	0.023876015629133048	0.0019147626862268602	3061.8875223003956	4.4110339292338524e-05
IL456	0.00553575326026886	0.0015276256351921783	2607.54175092983	-7.228654431497546e-05
IL457	0.014336959244133597	0.0022153718952946408	3556.2580786456165	-0.000118284496480746
IL458	0.03466242455888047	0.001626082343310983	1989.6066631548092	0.0001624259759452301
IL459	0.015447986372249277	0.0015554057905923268	2276.129905247245	-2.710944955442713e-06
IL460	0.04848000615534071	0.001585218921935596	2483.7094058261187	9.160441015005252e-05
IL462	0.03285641657434152	0.0015775496573246972	2445.639542982563	2.6276918089996588e-05
IL463	-0.007898652061428996	0.0022493204484843547	3626.1872988101777	-0.00024463827893542487
IL465	0.010867601279018872	0.0015375266016691238	2125.2609900333428	1.0340458157086238e-05
IL466	0.006860027328256467	0.0017195824768388933	2521.757200449073	-0.00010695127383548634
IL467	0.026971887588694864	0.0013597349135758658	1568.8130109426518	0.0011366587533923897
IL468	-0.00010269330539809287	0.0032261409405829563	4387.279199724693	-0.00030825249912762125
IL470	0.008440207200686967	0.0036449183473346134	4230.089551249243	0.0025680409280638074
IL471	0.007360148276878759	0.002189044571488553	2885.4462233490704	-4.829328886015836e-05
IL472	0.009511916333637054	0.002519381353496184	2761.422133230667	-0.00014474041322271925
IL473	0.022472601628486157	inf	2726.596734990537	0.003370860849885478
IL474	0.0005032481664608943	0.0021743446389594617	2630.6016259469893	-6.636986860960701e-05
IL475	0.052828462233256684	6.444030279482165e-05	1991.9831632189228	0.007523956074696333
IL476	0.014911958492820369	0.0014899362787589004	1814.336906771035	0.0010105109305665774
