ID	meanPSRI	meanCRI550	meanMCARI	meanARI
IL401	0.029759107752091552	0.0023251315904562913	2498.9754898468464	-1.4970018080641907e-05
IL402	0.019814051541570805	0.0024768563929430483	2303.6700293884346	-0.00022547315618747884
IL404	0.004642007894027309	0.0013435702497787436	2423.6827449949506	-8.92414598239956e-05
IL405	0.010755175268406598	0.0017558221537074844	2601.73065152847	-0.0001547541234105367
IL407	0.010650917522517182	0.0016254799750513949	2332.381945151493	-0.0001468703958747315
IL408	0.00725016013346417	0.0016529177801575619	2215.4138649868073	-0.00014438761868923304
IL409	0.010945573915496321	0.0017409994320759978	2417.7157267653497	-9.207435327220172e-05
IL410	0.02960435705597157	0.0016826285849395807	3561.020015411901	0.0023803071172130625
IL411	0.013908521507192847	0.0019675666926890724	2833.1981979390366	-0.00017175523343715342
IL412	0.010390540357167095	0.0018839403015774633	2634.5572103313552	-0.000184075305424049
IL413	0.02603654104705019	0.0019098309978150165	3189.4064968499897	-0.00016603566541201906
IL416	0.022974807041618847	0.001805833828889073	2330.47955112103	-0.00012461683920462113
IL417	0.0012973887019562215	0.0016812012077926728	2444.8524232726895	-0.0001750170399073324
IL418	0.010238383141377552	0.0018771287213405561	3126.635329784163	-0.00018344740504123994
IL419	0.017112510733546922	0.0012318729665246636	1327.9331201028413	-6.154883710492073e-05
IL420	0.012245769728432483	0.0015879747665031366	2485.888460316484	-0.00015661321438179674
IL421	0.008562384976135968	0.0017372042228483737	2604.490624134723	-0.00018014378945481647
IL422	0.023297029488983264	0.0017552319766959605	2731.4876885511458	-0.000136777045098847
IL423	0.012314259186069553	0.0018005082823364946	2555.8792165454124	-0.00015992682646306803
IL424	0.013944013031028197	0.001378571604426902	2329.203017354334	-0.00013304592705742829
IL425	0.023172824859303044	0.001421470909606941	1295.9308214331372	-6.402725540251645e-05
IL426	0.005723880006295676	0.001606725408093127	2283.50993995747	-0.00017083239435529443
IL427	0.010455710147390477	0.0017617844283257902	2557.3791075864815	-0.00015372254868068215
IL428	0.016627532503589088	0.0018427288456119954	2886.956234756251	-0.00018371302489796456
IL430	0.014262674841750197	0.0013889136516139827	3210.6229976690715	0.003544137391199047
IL431	0.026457380172979	0.0015641959261325587	2121.0860243928582	-0.00010294445975874922
IL432	0.007834689917684084	0.0015500887931090902	2848.5572049779885	-0.00019178698356736956
IL433	0.010172460812530607	0.0018006185039065364	2294.066691069686	-0.00013656004350008099
IL434	0.015070444332087953	0.0020998793619954495	3456.603439523107	-0.00022485364031710187
IL435	0.014266313104325117	0.0017696564904560947	3207.739544690895	-0.00017615973397778342
IL436	0.010442753900070418	0.001696046746540134	2418.0596573605685	-0.00014337230623653034
IL439	0.013779883938008254	0.0020353202796181257	2797.0835742116287	-0.00016177524109526226
IL440	0.009405903005331612	0.0015722183280719858	2685.7269482072493	-0.00017303362601637349
IL442	0.0074796969863808625	0.0018197627926232654	2554.198735944725	-0.00018489466695530078
IL445	0.013152542047613416	0.0016026817693156818	2175.3790365257905	-0.00012310861673002935
IL446	0.01752334692063501	0.001701225537463024	2124.206562099132	-0.00015730744505678155
IL448	0.01863896196677972	0.0014732381454003862	1892.2924363574327	-0.00012895900468662516
IL450	0.008894359227364356	0.0017108801859036017	3488.948198151059	-0.00020897130397087247
IL451	0.010852600810254473	0.0015510727095431462	3129.6761231111554	-0.0001337999056384006
IL452	0.010255219587751347	0.0017723795148168835	2554.0874805632498	-0.00015939581348760532
IL453	0.02197694766143227	0.00156101178720894	2260.5343170457977	-0.0001594753094926885
IL454	0.015004508561759831	0.001982851456658319	2996.8697058574517	-0.00020687576147245633
IL455	0.006508279036231414	0.0018554513353407655	3845.325549176447	-0.00017860406480381394
IL456	0.00210967096437956	0.0014052997725803327	2444.302122721156	-0.000132632301139246
IL457	0.013600241866881899	0.002157019895572314	3966.8588643353914	-0.0002555851525303826
IL458	0.01197651727221643	0.001560449200176468	2290.8682109556103	-2.5816361513694074e-05
IL459	0.009825095632451647	0.0015141123024350973	2048.861763260305	-0.00014136035890249498
IL460	0.01393735445469871	0.001766894348497953	3364.05196344592	-0.00022123332600682902
IL462	0.015603916447952212	0.0015108478058672545	2977.750728725017	-0.00016522994618299778
IL463	0.01055053319965496	0.0016830744573782328	2173.1247325928884	-0.0001545151406581427
IL465	0.022213658079219527	0.0012453626367455541	1802.0515813308373	-2.477628851636131e-05
IL466	0.0033382940359276275	0.0016021439520657805	2080.402122693802	-0.00015836169359901002
IL467	0.037545354216431764	0.0008485731830927283	1453.1450959258802	0.00213537041288186
IL468	0.023345822131956833	0.001997632138033281	3029.656046145449	-0.00019566803407175716
IL470	0.03778588826842686	0.0015775977422907799	2884.961183519928	0.0039544331465845755
IL471	0.01772138013141486	0.0019137938697418777	2798.624390454658	-0.00015826149740603572
IL472	0.0037855120469299968	0.0019401092364378374	2712.4797671866277	-0.00022159801698328169
IL473	0.029095021409493445	0.0013424232871197287	1951.9518008354196	0.002930634725512755
IL474	0.012335254172345581	0.0016817724020549208	2016.8510670216526	-0.00014819315849438488
IL475	0.04968273997928198	-0.0003092129094148476	1750.7192271665872	0.005945116215047833
IL476	0.027082257177575012	0.0012426745355009624	1522.5480778233937	0.001618242495925304
IL479	0.021502756857682753	0.001613505372536393	2500.688264601375	-6.449599050072224e-05
IL481	-0.005926467346734986	0.00197917161825328	2365.3945799765347	-0.00021847448434256987
IL482	0.021386791227683787	0.0016022012778869705	1956.7351341608833	-0.0001297831674242242
IL483	0.021611675035385886	0.0017562443939285488	2068.8225181780767	-6.937549173971764e-05
IL484	0.015569755082541627	0.0015936305082722142	2036.6675704570448	-0.00010735095368167724
IL485	0.019867364091087452	0.0013749116499263848	1758.0186669889572	-7.170522284005911e-05
IL486	0.0006916089019043836	0.0018296634599867425	2502.515361626768	-0.000209291878320081
IL487	-0.0009008725151092591	0.0022763355889405977	2411.292003217473	-0.00026785555963824845
IL488	0.005062855248096332	0.0018920849278532604	2813.660381647495	-0.0002453707920487273
IL489	0.05112986684215798	-0.00042771035421709477	1630.3272425282948	0.006466036542905197
IL490	0.017240090646544477	0.002252315938178031	3021.524404497511	-0.00013672529526579332
IL491	0.015490207498160236	0.0017264369876518403	1643.900515063816	-0.00010147877093230894
IL492	0.027072503370085845	0.002001676108082013	2695.73393159385	-0.00014788156395190158
IL493	0.02247840614645546	0.002155585421370822	3133.104528835013	-0.00021579939046755586
IL494	0.04725812182663888	-0.0002677684954969362	1995.4862974759803	0.005892578128012608
IL495	0.01862651690298554	0.0017626933284088262	2989.7653753484256	-0.0001337198775491059
IL496	0.025081821787430496	0.001708812645665158	2620.135384952437	-0.00016736313764684487
IL497	0.023865948667919728	0.0016751814366558647	2842.5371065933236	-0.00012127635246139989
IL498	0.08073806522558963	-0.00041216980486290304	1819.128590524341	0.005727889330082611
IL503	0.017790801692908864	0.0013404564839854696	2147.734715528889	-0.00012800699848231466
IL505	0.060284477698422496	0.0007131830158942483	2059.685822678567	0.003692918506202099
IL506	0.061981022863081624	0.0016292174990932857	1570.9748547186878	-5.471074071778945e-05
IL507	0.12236398642336338	0.0006917632340774154	620.065262570543	0.0006751697794702335
IL511	0.10751867101047152	0.000948795190118045	1261.5390497679882	0.0007303919913715022
IL512	0.02975080061816456	0.0014744452766230572	2456.3393867261375	-0.00011805074701192333
IL514	0.02933544090378552	0.0016065222271138418	2541.3101967591483	-0.00011920035407046155
IL515	0.028613370089570017	0.0015717895894083774	2637.823284313632	-0.0001144537344894677
IL516	0.02169290353040672	0.0015138740722672407	1922.076585998676	3.770975494849411e-05
IL517	0.02628969121801563	0.0016992826386594579	2416.8678543436245	-0.00014852386386814506
IL518	0.03730654920330435	0.0018009784047070064	2465.4306576264717	-0.00027747191874126145
IL521	0.030130745381718945	0.0028862171971948325	2158.575024761611	-0.0003345957172613253
IL522	0.028088527615409666	0.001641680817807283	2205.4530344200325	-8.10266487111174e-05
IL523	0.03404963941923453	0.0014908952165112678	2744.723561864166	-0.00010752603632950019
IL524	0.04848994023239969	0.0015291845641930936	3067.929667100492	0.002886616896122672
IL525	0.05343174740611341	0.0014353345383413133	2388.7910560155797	0.001894452287398599
IL526	0.03090264290263073	0.0014955762546380164	1645.580628210237	-7.17213722730292e-05
IL528	0.031820564586424335	0.0015374935180860715	1987.4149695060405	-9.514169076632481e-05
IL529	0.05710315112298071	0.0014336282761130005	2228.687394894393	-3.2782518251665865e-05
IL530	0.03538287098622731	0.001438726543819707	2008.4393918729343	2.292092477872267e-06
IL532	0.027526767496907485	0.002150822839987187	3361.545556731334	-0.00016951059079298357
IL533	0.033482807620722116	0.0017560512662032342	1988.0314294543498	-0.0001384864027998664
IL535	0.03181045462286074	0.0014785104311451837	2561.92976095994	-0.00014746073204359144
IL536	0.03643949161677162	0.0023301309728416437	2415.5968866092876	-0.00029467415159225457
IL537	0.03718561256274953	0.0016616076321203364	2744.2685447444464	-0.00025875849875779385
IL538	0.034153307351802595	0.0013111676372114809	1680.016445745168	8.138360385872646e-07
IL539	0.04205893685665916	0.00153554426390817	2201.3463800077475	-9.88835531315364e-05
IL541	0.04909398987917601	0.0016829640585080915	2405.8875283466846	0.000618970219895099
IL542	0.04867367864440895	0.0012013373629056786	1502.2241140809272	0.002054114519305796
IL543	0.05675523196918819	0.0009147399874013807	1880.0521459654508	0.003490202770199995
IL544	0.03358283305393135	0.0016456246435051364	2491.8454281610216	-0.0001359879777768948
IL545	0.03122367921822068	0.0015658428154537187	2568.7953464047564	-0.00013118947716448642
IL546	0.028022709601314075	0.0017328043959088475	2552.908696547537	-0.00017350132845409363
IL547	0.03302180085557251	0.0015675035744849091	2495.3043909287876	-0.00010110909118896242
IL548	0.03697893760388503	0.0018641585210146625	2625.4749379210375	-0.00020346487316664816
IL549	0.029302066914145664	0.0017846603246697446	2608.3669830961435	-0.0001802747663557823
IL550	0.030495130025115294	0.001666308885894115	1769.3338238670424	-9.955094070709805e-05
